凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯巴-沃克,G,39,9-15,4-7,7-7,0,3,"
3","
3",1,3,2,0,"
29","
+11"
马库斯-斯马特,G,37,4-15,2-9,1-2,0,5,"
5","
4",4,2,3,0,"
11","
-4"
杰伦-布朗,F,40,9-15,0-2,1-2,0,12,"
12","
2",1,0,4,4,"
19","
-6"
杰森-塔特姆,F,39,5-18,1-4,4-6,2,7,"
9","
6",1,1,1,0,"
15","
-3"
丹尼尔-泰斯,C,30,4-7,0-2,1-2,2,5,"
7","
2",2,0,0,1,"
9","
-3"
格兰特-威廉姆斯,F,18,2-5,1-3,0-0,0,0,"
0","
0",4,0,1,1,"
5","
+11"
罗伯特-威廉姆斯,C-F,14,1-2,0-0,1-1,2,5,"
7","
3",1,0,1,1,"
3","
+3"
布拉德-沃纳梅克,G,12,2-3,0-1,1-1,0,0,"
0","
1",0,0,2,0,"
5","
-4"
谢米-奥杰莱,F,6,1-1,1-1,0-0,0,0,"
0","
0",1,0,0,0,"
3","
-3"
埃内斯-坎特,C,4,2-2,0-0,0-0,1,0,"
1","
0",1,0,0,0,"
4","
-4"
卡森-爱德华兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗密欧-兰福德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戈登-海沃德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾文特-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-3"
猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯尔-洛瑞,G,46,13-23,2-8,3-4,2,4,"
6","
8",5,2,3,0,"
31","
+2
"
弗雷德-范弗利特,G,41,9-22,5-13,2-2,2,1,"
3","
6",5,0,5,0,"
25","
-4
"
OG-阿奴诺比,F,45,4-8,3-5,1-2,2,8,"
10","
1",1,3,1,2,"
12","
0
"
帕斯卡尔-西亚卡姆,F,38,6-15,1-4,3-4,0,7,"
7","
2",4,1,2,1,"
16","
+12
"
马克-加索尔,C,26,5-9,0-3,0-1,0,6,"
6","
3",1,0,0,0,"
10","
+5
"
赛尔吉-伊巴卡,F-C,22,1-6,0-3,0-0,0,4,"
4","
2",1,1,2,2,"
2","
-4"
诺曼-鲍威尔,G,15,3-4,2-3,0-3,0,1,"
1","
1",3,0,0,0,"
8","
-8"
马特-托马斯,G,6,0-1,0-1,0-0,0,2,"
2","
0",0,0,0,0,"
0","
+2"
帕特里克-麦考,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-沃特森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
朗戴-霍利斯-杰弗森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-戴维斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-布歇,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
