快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
保罗-乔治,G,33,6-13,2-7,5-7,0,7,"
7","
4",2,2,5,0,"
19","
+23"
帕特里克-贝弗利,G,12,3-5,2-3,0-0,0,6,"
6","
2",2,0,1,0,"
8","
+8"
科怀-伦纳德,F,32,12-16,1-2,4-4,0,2,"
2","
3",1,2,2,1,"
29","
+20"
马库斯-莫里斯,F,27,7-10,4-5,0-0,0,5,"
5","
2",3,2,0,0,"
18","
+24"
伊维察-祖巴茨,C,24,2-3,0-0,0-0,3,4,"
7","
2",2,0,2,1,"
4","
+18"
路易斯-威廉姆斯,G,24,5-9,0-2,0-0,0,4,"
4","
4",3,0,2,0,"
10","
+16"
兰德里-沙梅特,G,21,2-6,0-2,0-0,0,2,"
2","
1",2,0,1,0,"
4","
+3"
杰迈克尔-格林,F-C,21,3-6,1-3,0-0,3,4,"
7","
1",3,0,1,0,"
7","
-1"
蒙特雷兹-哈勒尔,F-C,19,5-11,0-0,5-6,2,1,"
3","
2",4,1,0,1,"
15","
+7"
雷吉-杰克逊,G,13,0-0,0-0,0-0,0,0,"
0","
0",2,0,0,0,"
0","
+3"
帕特里克-帕特森,F,4,0-0,0-0,0-0,0,0,"
0","
2",0,0,0,0,"
0","
-2"
特伦斯-曼,G-F,4,2-3,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
4","
-2"
罗德尼-麦格鲁德,G,4,1-2,0-0,0-0,1,0,"
1","
0",0,0,0,0,"
2","
-2"
乔金-诺阿,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾马尔-默里,G,33,5-15,2-8,0-0,0,3,"
3","
6",0,1,2,0,"
12","
-18
"
加里-哈里斯,G,24,2-5,1-4,0-0,0,1,"
1","
2",4,1,2,0,"
5","
-17
"
杰拉米-格兰特,F,26,4-8,3-6,1-2,0,1,"
1","
3",3,0,0,0,"
12","
-16
"
保罗-米尔萨普,F,24,3-6,1-3,6-8,2,7,"
9","
0",2,3,3,2,"
13","
-16
"
尼古拉-约基奇,C,30,6-14,0-2,3-4,1,2,"
3","
3",2,0,1,0,"
15","
-24
"
小迈克尔-波特,F,23,2-9,0-6,1-1,0,6,"
6","
0",2,1,2,0,"
5","
-6"
托里-克雷格,F,22,2-3,1-2,1-2,2,1,"
3","
0",2,0,1,0,"
6","
-21"
蒙特-莫里斯,G,17,5-11,0-3,2-2,2,2,"
4","
1",2,0,1,0,"
12","
-6"
梅森-普拉姆利,F-C,14,1-2,0-0,2-4,3,2,"
5","
3",4,2,0,2,"
4","
-1"
PJ-多齐尔,G-F,10,3-6,0-1,0-0,0,0,"
0","
1",0,0,2,0,"
6","
+5"
凯塔-贝茨-迪奥普,F,7,0-1,0-0,1-2,1,1,"
2","
1",0,0,0,0,"
1","
+3"
特洛伊-丹尼尔斯,G,5,1-2,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
2","
0"
波尔-波尔,C-F,4,1-1,1-1,1-2,1,1,"
2","
0",0,1,1,1,"
4","
+2"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威尔-巴顿,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺阿-冯莱,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-库克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
