雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃里克-布莱索,G,36,2-12,1-4,4-6,0,2,"
2","
9",2,2,1,2,"
9","
0"
唐特-迪温琴佐,G,28,5-9,3-6,4-5,2,2,"
4","
1",6,1,2,0,"
17","
-8"
克里斯-米德尔顿,F,42,8-25,2-9,5-6,0,7,"
7","
6",6,1,6,0,"
23","
-7"
韦斯利-马修斯,F,29,3-6,0-3,5-6,1,0,"
1","
1",1,2,0,2,"
11","
-8"
布鲁克-洛佩斯,C,37,7-16,0-3,1-3,6,8,"
14","
0",4,0,0,1,"
15","
-7"
乔治-希尔,G,28,1-8,0-3,0-0,1,2,"
3","
2",1,0,0,0,"
2","
-13"
马文-威廉姆斯,F,21,5-10,1-3,0-0,3,5,"
8","
1",2,0,1,0,"
11","
-3"
帕特-康诺顿,G,14,1-3,1-1,0-0,0,2,"
2","
0",0,1,0,0,"
3","
-1"
凯尔-科沃尔,G-F,6,1-2,1-1,0-0,0,0,"
0","
0",1,0,1,0,"
3","
+2"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
艾森-伊利亚索瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
DJ-威尔森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扬尼斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
萨纳西斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯特林-布朗,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗宾-洛佩斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
戈兰-德拉季奇,G,33,7-15,2-5,1-2,1,3,"
4","
2",3,0,3,0,"
17","
+8
"
邓肯-罗宾逊,G,14,1-3,0-2,0-0,0,1,"
1","
0",4,0,1,0,"
2","
-13
"
吉米-巴特勒,F,37,4-6,1-1,8-8,2,8,"
10","
6",1,1,5,0,"
17","
-3
"
杰-克劳德,F,32,4-9,4-9,4-4,0,6,"
6","
1",1,1,0,1,"
16","
-15
"
巴姆-阿德巴约,C,31,4-9,0-0,5-6,1,5,"
6","
2",2,0,5,0,"
13","
0
"
泰勒-希罗,G,37,5-10,3-7,1-1,0,8,"
8","
6",1,1,3,1,"
14","
+23"
肯德里克-纳恩,G,22,3-7,0-1,0-0,0,2,"
2","
1",3,1,0,1,"
6","
+14"
安德烈-伊格达拉,F-G,18,3-7,0-2,0-0,0,5,"
5","
2",3,1,1,2,"
6","
+9"
凯利-奥利尼克,F-C,17,4-7,1-4,3-3,1,5,"
6","
1",3,1,3,2,"
12","
+22"
所罗门-希尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-席尔瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-亚历山大,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小德里克-琼斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈耶斯-伦纳德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
盖布-文森特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
