掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾马尔-默里,G,44,6-15,2-3,4-4,1,3,"
4","
7",0,1,4,0,"
18","
-7"
加里-哈里斯,G,23,2-5,1-4,5-6,0,4,"
4","
3",6,1,3,1,"
10","
-3"
杰拉米-格兰特,F,34,2-7,1-6,2-2,0,0,"
0","
0",3,0,1,0,"
7","
-10"
保罗-米尔萨普,F,14,0-1,0-0,3-4,2,1,"
3","
1",0,1,1,1,"
3","
-15"
尼古拉-约基奇,C,39,11-23,2-7,2-2,1,10,"
11","
6",4,0,3,1,"
26","
-7"
小迈克尔-波特,F,34,5-8,3-4,2-2,1,5,"
6","
1",3,0,0,1,"
15","
+4"
托里-克雷格,F,25,0-3,0-2,1-2,0,7,"
7","
1",4,0,1,0,"
1","
-8"
蒙特-莫里斯,G,17,1-6,0-1,3-4,0,1,"
1","
0",2,1,0,0,"
5","
-7"
梅森-普拉姆利,F-C,9,0-0,0-0,0-0,0,2,"
2","
0",3,0,1,1,"
0","
-4"
PJ-多齐尔,G-F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2"
凯塔-贝茨-迪奥普,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威尔-巴顿,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺阿-冯莱,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特洛伊-丹尼尔斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-库克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
保罗-乔治,G,27,4-10,2-6,0-0,0,3,"
3","
3",5,1,4,0,"
10","
+6
"
帕特里克-贝弗利,G,23,1-3,0-1,0-0,1,6,"
7","
1",4,1,1,0,"
2","
+7
"
科怀-伦纳德,F,39,10-22,2-4,8-8,3,8,"
11","
9",3,4,1,2,"
30","
+7
"
马库斯-莫里斯,F,30,4-6,3-5,0-0,0,1,"
1","
1",2,0,1,0,"
11","
+9
"
伊维察-祖巴茨,C,30,4-9,0-0,3-4,4,5,"
9","
0",4,0,1,2,"
11","
+12
"
路易斯-威廉姆斯,G,30,3-11,0-3,6-9,0,1,"
1","
3",2,1,0,0,"
12","
+5"
兰德里-沙梅特,G,25,1-7,1-6,1-2,0,6,"
6","
2",2,0,0,1,"
4","
+12"
杰迈克尔-格林,F-C,18,0-1,0-1,1-2,0,1,"
1","
0",1,0,0,0,"
1","
+2"
蒙特雷兹-哈勒尔,F-C,18,6-10,0-2,3-5,1,1,"
2","
0",3,0,1,0,"
15","
-1"
雷吉-杰克逊,G,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-2"
特伦斯-曼,G-F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-2"
帕特里克-帕特森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔金-诺阿,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-麦格鲁德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
