火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
拉塞尔-威斯布鲁克,G,41,8-16,3-8,6-9,1,2,"
3","
3",4,3,3,1,"
25","
-10"
詹姆斯-哈登,G,39,2-11,1-6,16-20,0,4,"
4","
10",3,2,5,3,"
21","
0"
埃里克-戈登,F,35,6-14,4-8,3-4,0,1,"
1","
3",2,1,2,0,"
19","
-17"
PJ-塔克,F,33,0-4,0-2,0-0,0,3,"
3","
0",4,0,0,1,"
0","
-16"
罗伯特-科温顿,C,24,1-2,1-1,0-0,0,3,"
3","
1",2,2,1,0,"
3","
-18"
奥斯汀-里弗斯,G,28,5-8,2-3,2-2,0,5,"
5","
5",3,1,3,0,"
14","
+4"
杰夫-格林,F,26,3-7,0-2,3-4,0,7,"
7","
1",3,0,1,1,"
9","
+1"
本-麦克勒摩,G,15,3-3,3-3,0-0,0,0,"
0","
1",0,1,1,0,"
9","
+6"
克里斯-克莱蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-理查德-巴莫特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁诺-卡博克洛,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰森-钱德勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹纽尔-豪斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯塔维厄斯-考德威尔-波普,G,30,4-6,2-3,0-0,0,2,"
2","
0",2,1,1,0,"
10","
-1
"
丹尼-格林,G,26,4-9,2-5,0-0,3,1,"
4","
3",3,1,0,0,"
10","
+10
"
安东尼-戴维斯,F,40,10-18,0-2,9-9,3,9,"
12","
5",4,0,5,2,"
29","
+7
"
勒布朗-詹姆斯,F,34,7-17,0-5,2-3,1,14,"
15","
9",2,2,4,0,"
16","
+15
"
马基夫-莫里斯,C,23,4-10,1-4,0-0,2,2,"
4","
0",4,0,1,0,"
9","
+13
"
亚历克斯-卡鲁索,G,30,5-9,2-5,4-4,0,3,"
3","
2",4,1,1,2,"
16","
+1"
拉简-隆多,G,29,5-8,1-2,0-0,3,7,"
10","
8",4,2,3,0,"
11","
-4"
凯尔-库兹马,F,22,2-6,0-1,0-0,0,0,"
0","
3",2,0,1,0,"
4","
0"
塔伦-霍顿-塔克,G,7,2-5,1-3,0-0,0,2,"
2","
0",2,2,0,0,"
5","
+9"
贾里德-杜德利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文泰-卡考克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德怀特-霍华德,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因-库克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
JR-史密斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾维尔-麦基,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
