猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
弗雷德-范弗利特,G,45,8-20,4-9,0-0,0,3,"
3","
6",2,0,3,2,"
20","
-8"
凯尔-洛瑞,G,41,5-15,1-6,5-6,1,5,"
6","
4",6,0,3,0,"
16","
-10"
帕斯卡尔-西亚卡姆,F,42,5-12,0-1,3-4,2,9,"
11","
3",4,0,5,1,"
13","
-3"
OG-阿奴诺比,F,35,1-3,0-2,2-2,2,5,"
7","
1",2,0,1,0,"
4","
-1"
马克-加索尔,C,19,2-7,0-2,2-2,0,5,"
5","
3",2,1,1,2,"
6","
-19"
诺曼-鲍威尔,G,33,4-8,1-3,2-2,1,2,"
3","
0",4,0,2,1,"
11","
+4"
赛尔吉-伊巴卡,F-C,20,5-9,1-4,3-3,1,7,"
8","
0",3,0,3,0,"
14","
+6"
马特-托马斯,G,5,1-1,1-1,0-0,0,1,"
1","
0",0,0,0,0,"
3","
+6"
帕特里克-麦考,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-沃特森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
朗戴-霍利斯-杰弗森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-戴维斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-布歇,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯巴-沃克,G,44,5-16,1-7,3-5,0,6,"
6","
4",1,2,1,1,"
14","
+13
"
马库斯-斯马特,G,43,6-15,2-10,2-3,1,1,"
2","
6",1,3,1,1,"
16","
+13
"
杰森-塔特姆,F,44,9-23,4-8,7-10,0,12,"
12","
7",2,1,3,1,"
29","
+5
"
杰伦-布朗,F,43,10-17,1-7,0-1,2,6,"
8","
2",0,4,2,0,"
21","
+14
"
丹尼尔-泰斯,C,23,2-8,0-1,1-2,1,4,"
5","
0",6,1,1,2,"
5","
-3
"
罗伯特-威廉姆斯,C-F,17,2-2,0-0,0-0,3,3,"
6","
0",2,0,1,0,"
4","
+7"
布拉德-沃纳梅克,G,9,0-2,0-2,0-0,0,0,"
0","
0",2,0,0,0,"
0","
-11"
谢米-奥杰莱,F,9,1-3,1-3,0-0,1,2,"
3","
0",1,0,0,0,"
3","
-14"
格兰特-威廉姆斯,F,7,0-0,0-0,0-2,2,0,"
2","
0",1,1,1,0,"
0","
+1"
卡森-爱德华兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗密欧-兰福德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戈登-海沃德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃内斯-坎特,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾文特-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
