湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯塔维厄斯-考德威尔-波普,G,28,4-5,2-3,0-0,0,1,"
1","
1",1,1,1,0,"
10","
+32"
丹尼-格林,G,25,4-6,4-6,2-3,1,3,"
4","
1",3,0,1,0,"
14","
+35"
安东尼-戴维斯,F,34,4-9,0-0,5-6,2,9,"
11","
4",2,0,6,1,"
13","
+29"
勒布朗-詹姆斯,F,31,9-18,3-8,8-10,2,9,"
11","
7",2,2,4,1,"
29","
+19"
马基夫-莫里斯,C,24,6-7,4-4,0-0,0,3,"
3","
3",5,0,2,0,"
16","
+17"
凯尔-库兹马,F,27,5-9,3-6,4-4,0,4,"
4","
2",2,0,1,1,"
17","
-3"
亚历克斯-卡鲁索,G,24,2-6,1-4,0-0,0,2,"
2","
2",1,1,1,2,"
5","
-4"
拉简-隆多,G,21,1-4,1-1,0-0,1,4,"
5","
5",4,1,2,1,"
3","
+6"
塔伦-霍顿-塔克,G,10,4-7,1-2,0-0,0,3,"
3","
0",2,0,0,0,"
9","
-4"
贾里德-杜德利,F,6,0-1,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-4"
德怀特-霍华德,C,4,0-0,0-0,3-6,0,2,"
2","
0",2,0,1,0,"
3","
-6"
JR-史密斯,G-F,4,0-1,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-3"
贾维尔-麦基,C-F,3,0-1,0-1,0-0,0,3,"
3","
0",0,0,0,1,"
0","
+1"
德文泰-卡考克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因-库克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
詹姆斯-哈登,G,42,12-20,2-8,4-4,4,2,"
6","
5",5,1,6,1,"
30","
-29
"
拉塞尔-威斯布鲁克,G,36,4-13,0-3,2-6,1,3,"
4","
6",2,2,3,0,"
10","
-23
"
埃里克-戈登,F,29,2-7,1-4,0-0,0,2,"
2","
1",2,0,1,0,"
5","
-28
"
PJ-塔克,F,29,3-10,2-6,0-0,2,3,"
5","
2",3,0,1,0,"
8","
-38
"
罗伯特-科温顿,C,22,2-7,1-4,0-0,0,2,"
2","
1",5,2,0,0,"
5","
-21
"
杰夫-格林,F,25,3-9,1-3,6-6,1,1,"
2","
0",0,0,0,2,"
13","
-7"
奥斯汀-里弗斯,G,24,2-7,1-5,4-6,0,3,"
3","
2",5,1,0,0,"
9","
+7"
本-麦克勒摩,G,20,3-9,3-9,0-0,0,2,"
2","
0",2,0,1,0,"
9","
+6"
克里斯-克莱蒙斯,G,4,2-5,2-5,1-2,0,1,"
1","
0",0,0,0,0,"
7","
+6"
布鲁诺-卡博克洛,F,4,0-1,0-1,0-0,0,2,"
2","
0",2,0,0,0,"
0","
+6"
迈克尔-弗雷泽,G,4,0-1,0-1,0-0,1,1,"
2","
1",0,0,0,0,"
0","
+6"
泰森-钱德勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-理查德-巴莫特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹纽尔-豪斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
