热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
戈兰-德拉季奇,G,39,8-21,3-9,3-3,1,4,"
5","
3",2,2,2,0,"
22","
+11"
邓肯-罗宾逊,G,23,0-5,0-4,3-3,1,2,"
3","
2",4,1,0,0,"
3","
+2"
吉米-巴特勒,F,39,8-20,0-2,8-9,4,5,"
9","
3",2,1,1,1,"
24","
+6"
杰-克劳德,F,31,1-9,1-7,0-0,0,3,"
3","
3",4,0,0,1,"
3","
-6"
巴姆-阿德巴约,C,41,7-11,0-1,6-8,3,9,"
12","
4",3,2,3,0,"
20","
+8"
泰勒-希罗,G,36,14-21,5-10,4-4,0,6,"
6","
3",1,0,1,0,"
37","
-4"
安德烈-伊格达拉,F-G,27,1-4,1-4,0-0,1,1,"
2","
2",2,3,1,0,"
3","
-4"
所罗门-希尔,F,4,0-0,0-0,0-0,0,0,"
0","
0",2,0,0,0,"
0","
+2"
凯尔-亚历山大,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯德里克-纳恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-席尔瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯利-奥利尼克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小德里克-琼斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈耶斯-伦纳德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
盖布-文森特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马库斯-斯马特,G,36,3-12,1-8,3-4,0,2,"
2","
11",6,0,4,1,"
10","
+1
"
肯巴-沃克,G,34,6-14,3-8,5-6,2,2,"
4","
5",3,0,0,0,"
20","
-10
"
杰伦-布朗,F,40,8-14,4-7,1-2,0,9,"
9","
2",5,1,4,1,"
21","
+1
"
杰森-塔特姆,F,39,10-22,4-11,4-4,0,9,"
9","
4",4,1,6,3,"
28","
-6
"
丹尼尔-泰斯,C,30,4-5,0-0,0-0,4,5,"
9","
1",1,0,2,0,"
8","
-14
"
戈登-海沃德,F,30,4-9,2-6,4-4,2,5,"
7","
3",4,0,1,0,"
14","
+8"
布拉德-沃纳梅克,G,13,2-2,0-0,0-0,0,1,"
1","
1",1,0,2,0,"
4","
-3"
罗伯特-威廉姆斯,C-F,12,2-4,0-0,0-1,4,0,"
4","
1",0,1,0,0,"
4","
+10"
谢米-奥杰莱,F,4,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-2"
格兰特-威廉姆斯,F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃内斯-坎特,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾文特-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗密欧-兰福德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡森-爱德华兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
