凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马库斯-斯马特,G,40,3-9,2-5,4-4,0,8,"
8","
8",4,4,1,0,"
12","
+11"
肯巴-沃克,G,28,4-11,3-6,4-4,0,2,"
2","
7",5,1,1,0,"
15","
+21"
杰森-塔特姆,F,43,8-22,3-10,12-14,2,8,"
10","
6",3,1,2,0,"
31","
+10"
杰伦-布朗,F,39,12-23,4-10,0-1,3,5,"
8","
2",1,1,4,0,"
28","
+11"
丹尼尔-泰斯,C,35,6-10,0-2,3-4,5,8,"
13","
1",4,0,1,3,"
15","
+16"
戈登-海沃德,F,30,4-9,0-4,2-2,1,2,"
3","
2",1,0,2,1,"
10","
-2"
埃内斯-坎特,C,10,4-7,0-0,0-0,2,2,"
4","
2",2,0,0,0,"
8","
+3"
格兰特-威廉姆斯,F,8,0-1,0-1,0-0,0,1,"
1","
0",2,0,0,0,"
0","
-3"
布拉德-沃纳梅克,G,5,1-1,0-0,0-0,0,1,"
1","
1",1,0,0,0,"
2","
-2"
卡森-爱德华兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗密欧-兰福德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-威廉姆斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾文特-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
谢米-奥杰莱,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
邓肯-罗宾逊,G,37,7-15,3-11,3-4,0,2,"
2","
0",4,1,0,0,"
20","
-13
"
戈兰-德拉季奇,G,36,8-17,1-7,6-7,0,4,"
4","
4",6,0,4,0,"
23","
+1
"
吉米-巴特勒,F,36,5-11,0-2,7-8,2,6,"
8","
8",4,1,3,1,"
17","
-13
"
杰-克劳德,F,33,5-12,0-6,4-6,0,6,"
6","
3",2,0,0,1,"
14","
-13
"
巴姆-阿德巴约,C,38,5-11,0-0,3-4,1,7,"
8","
8",5,1,2,1,"
13","
-15
"
泰勒-希罗,G,29,6-12,2-5,0-0,0,3,"
3","
1",3,0,2,0,"
14","
-10"
安德烈-伊格达拉,F-G,19,1-5,0-3,0-0,2,2,"
4","
1",2,0,1,2,"
2","
-2"
所罗门-希尔,F,7,0-0,0-0,0-0,1,2,"
3","
2",0,0,0,0,"
0","
+2"
凯利-奥利尼克,F-C,4,2-3,1-2,0-0,0,0,"
0","
0",2,0,0,0,"
5","
0"
小德里克-琼斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-2"
肯德里克-纳恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-席尔瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-亚历山大,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈耶斯-伦纳德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
盖布-文森特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
