湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
丹尼-格林,G,28,3-7,2-4,3-4,0,0,"
0","
2",1,0,0,2,"
11","
+6"
肯塔维厄斯-考德威尔-波普,G,26,1-2,0-1,0-0,0,1,"
1","
0",5,2,1,0,"
2","
+5"
勒布朗-詹姆斯,F,40,15-25,1-4,7-8,3,13,"
16","
10",2,1,2,0,"
38","
+12"
安东尼-戴维斯,F,35,8-16,2-4,9-9,0,5,"
5","
3",3,2,1,1,"
27","
-1"
德怀特-霍华德,C,35,3-4,0-0,3-6,2,7,"
9","
0",5,0,2,2,"
9","
+12"
亚历克斯-卡鲁索,G,26,5-7,0-1,1-1,0,2,"
2","
4",2,1,3,1,"
11","
+16"
凯尔-库兹马,F,21,3-7,1-3,1-1,0,3,"
3","
1",3,0,0,1,"
8","
0"
马基夫-莫里斯,F,14,1-3,1-3,0-0,0,3,"
3","
0",1,0,2,1,"
3","
+6"
拉简-隆多,G,13,3-5,2-4,0-0,0,3,"
3","
4",2,0,1,0,"
8","
-4"
贾维尔-麦基,C-F,2,0-1,0-0,0-0,0,1,"
1","
0",2,0,1,0,"
0","
-2"
德文泰-卡考克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因-库克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-杜德利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
JR-史密斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾马尔-默里,G,43,7-17,0-4,5-5,2,2,"
4","
8",3,1,5,0,"
19","
-10
"
加里-哈里斯,G,13,1-4,1-3,0-0,0,2,"
2","
1",4,0,3,0,"
3","
+4
"
杰拉米-格兰特,F,46,7-18,2-8,4-4,0,9,"
9","
1",4,1,1,1,"
20","
-10
"
保罗-米尔萨普,F,31,1-8,1-5,10-11,1,3,"
4","
1",3,0,1,0,"
13","
-8
"
尼古拉-约基奇,C,30,9-16,1-4,1-1,2,5,"
7","
5",5,3,1,0,"
20","
-1
"
蒙特-莫里斯,G,28,4-9,0-1,2-2,0,2,"
2","
7",1,0,0,0,"
10","
-10"
梅森-普拉姆利,F-C,18,3-7,0-0,1-1,4,1,"
5","
0",2,0,0,0,"
7","
-9"
小迈克尔-波特,F,17,4-7,2-4,0-2,0,2,"
2","
0",2,0,0,0,"
10","
+1"
托里-克雷格,F,7,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,1,"
0","
-3"
PJ-多齐尔,G-F,7,2-3,1-1,0-0,0,1,"
1","
0",1,0,0,0,"
5","
-4"
凯塔-贝茨-迪奥普,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威尔-巴顿,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺阿-冯莱,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特洛伊-丹尼尔斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-库克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
