勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯利-乌布雷,G,22,4-10,1-6,1-1,1,3,"
4","
2",1,0,0,3,"
10","
-1"
斯蒂芬-库里,G,21,3-10,2-7,2-2,0,1,"
1","
3",1,2,3,0,"
10","
-3"
埃里克-帕斯卡尔,F,23,3-7,0-2,2-2,0,7,"
7","
3",1,1,1,0,"
8","
-4"
安德鲁-威金斯,F,19,3-8,2-6,0-2,0,0,"
0","
1",4,0,2,0,"
8","
-5"
凯文-卢尼,C,18,3-5,0-1,2-3,0,6,"
6","
3",4,1,1,0,"
8","
-2"
布拉德-沃纳梅克,G,19,2-4,0-2,4-4,0,0,"
0","
2",2,1,1,1,"
8","
+5"
肯特-贝兹莫尔,G-F,18,4-6,0-1,5-7,0,5,"
5","
0",3,0,3,0,"
13","
+2"
乔丹-普尔,G,15,4-4,1-1,1-1,0,0,"
0","
2",3,0,1,0,"
10","
+2"
马基斯-克里斯,F,14,1-3,0-2,1-2,0,3,"
3","
2",2,0,1,1,"
3","
+6"
达米恩-李,G-F,12,2-2,2-2,6-7,1,1,"
2","
0",0,1,0,0,"
12","
+2"
阿伦-斯马伊拉吉奇,F,11,2-6,0-2,0-0,1,2,"
3","
0",2,1,0,1,"
4","
-1"
阿克塞尔-图帕内,G-F,10,0-2,0-1,0-0,0,2,"
2","
1",1,0,1,1,"
0","
+2"
胡安-托斯卡诺-安德森,F,10,0-1,0-0,1-2,0,2,"
2","
2",3,0,1,0,"
1","
+5"
迈克尔-马尔德,G,10,3-4,3-4,1-2,0,1,"
1","
0",1,0,0,0,"
10","
+4"
尼科-曼尼恩,G,8,0-5,0-2,0-0,0,0,"
0","
3",0,0,0,0,"
0","
0"
卡莱布-韦森,F,4,1-1,0-0,0-0,1,1,"
2","
0",3,0,0,0,"
2","
-1"
德维恩-萨顿,F,4,0-2,0-1,0-0,1,0,"
1","
1",0,0,2,0,"
0","
-1"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德雷蒙德-格林,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
詹姆斯-怀斯曼,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾马尔-默里,G,24,2-6,0-1,0-0,0,8,"
8","
4",2,0,3,1,"
4","
0
"
加里-哈里斯,G,24,5-11,1-3,0-1,0,2,"
2","
3",1,2,1,0,"
11","
+4
"
小迈克尔-波特,F,23,3-12,1-4,0-0,2,5,"
7","
1",5,0,2,1,"
7","
+2
"
保罗-米尔萨普,F,22,2-9,2-4,2-2,0,5,"
5","
1",0,3,2,0,"
8","
+4
"
尼古拉-约基奇,C,23,9-11,1-2,7-7,4,6,"
10","
5",4,1,0,0,"
26","
0
"
法昆多-坎帕佐,G,24,3-6,1-3,1-2,0,1,"
1","
3",3,1,3,0,"
8","
-6"
杰迈克尔-格林,F-C,19,1-6,0-2,0-0,1,2,"
3","
1",3,0,1,0,"
2","
-11"
蒙特-莫里斯,G,19,5-11,0-2,0-0,0,0,"
0","
1",0,0,1,0,"
10","
-7"
PJ-多齐尔,G-F,18,3-6,0-1,1-3,1,0,"
1","
0",5,2,2,0,"
7","
-3"
RJ-汉普顿,G,13,1-4,0-1,2-2,0,2,"
2","
1",3,0,1,0,"
4","
+4"
齐克-纳吉,F-C,10,2-3,1-1,2-2,0,0,"
0","
0",1,0,0,1,"
7","
+7"
以赛亚-哈尔滕施泰因,C-F,9,3-5,0-0,3-4,2,2,"
4","
0",2,1,1,0,"
9","
-8"
波尔-波尔,C-F,6,0-0,0-0,0-2,0,3,"
3","
0",0,0,0,0,"
0","
+3"
弗拉特科-钱查尔,F,5,1-3,0-1,0-0,2,0,"
2","
0",2,1,0,0,"
2","
+1"
Markus Howard,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威尔-巴顿,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Greg Whittington,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
