森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马利克-比斯利,G,23,4-11,2-6,2-2,0,5,"
5","
3",2,0,2,0,"
12","
-4"
丹吉洛-拉塞尔,G,23,3-8,2-3,6-6,0,4,"
4","
3",0,1,2,0,"
14","
-9"
杰克-莱曼,F,20,4-7,2-2,0-0,1,1,"
2","
1",1,2,0,1,"
10","
+11"
约什-奥科吉,F,19,1-1,0-0,0-2,0,6,"
6","
2",3,0,3,0,"
2","
+10"
卡尔-安东尼-唐斯,C,21,4-13,0-5,5-6,1,7,"
8","
0",5,0,3,3,"
13","
+4"
安东尼-爱德华兹,F-G,26,2-9,1-5,0-0,1,3,"
4","
1",5,0,3,0,"
5","
-17"
贾勒特-卡尔弗,G-F,21,1-4,1-1,0-0,0,1,"
1","
2",1,2,1,0,"
3","
-3"
胡安-埃尔南戈麦斯,F,17,2-10,0-4,4-4,3,3,"
6","
1",2,0,0,1,"
8","
-16"
埃德-戴维斯,C-F,14,1-2,0-0,1-2,2,2,"
4","
0",1,1,1,1,"
3","
-16"
杰伦-诺埃尔,G,13,7-11,4-7,4-7,0,1,"
1","
0",0,0,0,0,"
22","
+4"
里基-卢比奥,G,12,3-7,1-2,2-2,0,5,"
5","
2",0,0,3,0,"
9","
-1"
朗戴-霍利斯-杰弗森,F,8,0-0,0-0,0-0,0,0,"
0","
0",2,1,0,0,"
0","
-4"
杰登-麦克丹尼尔斯,F,6,0-0,0-0,0-0,0,1,"
1","
0",1,0,1,2,"
0","
+5"
贾里德-范德比尔特,F,6,1-1,0-0,0-1,0,0,"
0","
0",0,1,2,0,"
2","
+5"
阿什顿-黑根斯,G-F,3,0-0,0-0,0-0,0,0,"
0","
0",1,1,1,0,"
0","
+7"
Ade Murkey,G,3,0-1,0-0,0-0,1,0,"
1","
0",1,0,0,0,"
0","
+7"
泰勒-库克,F,3,1-1,0-0,0-0,1,2,"
3","
2",1,0,0,0,"
2","
+7"
纳兹-里德,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾-莫兰特,G,25,8-12,2-3,2-2,1,3,"
4","
11",1,0,1,0,"
20","
+10
"
狄龙-布鲁克斯,G,22,2-12,0-3,0-0,1,2,"
3","
5",4,0,1,0,"
4","
-7
"
格雷森-阿伦,F,22,1-8,1-6,0-0,0,1,"
1","
1",0,1,0,0,"
3","
-14
"
凯尔-安德森,F,19,5-8,2-4,0-0,0,6,"
6","
0",2,0,1,4,"
12","
+1
"
约纳斯-瓦兰丘纳斯,C,22,5-8,1-2,2-4,1,8,"
9","
1",2,0,3,1,"
13","
+3
"
德斯蒙德-贝恩,G,22,5-8,2-3,0-1,0,4,"
4","
2",3,0,0,0,"
12","
+14"
约翰-康查尔,G,21,3-6,0-2,2-4,4,3,"
7","
2",2,2,3,1,"
8","
-3"
丹东尼-梅尔顿,G,20,4-9,1-5,2-2,0,1,"
1","
2",2,0,0,1,"
11","
+15"
泰厄斯-琼斯,G,19,2-7,2-6,0-0,1,2,"
3","
3",3,1,1,1,"
6","
+14"
戈尔吉-吉昂,C,16,3-6,0-3,2-2,2,4,"
6","
2",2,1,1,2,"
8","
+13"
泽维尔-蒂尔曼,F,15,1-5,0-2,1-2,1,1,"
2","
1",1,1,1,0,"
3","
-18"
肖恩-麦克德莫特,F,7,0-2,0-1,0-0,0,1,"
1","
0",0,0,1,0,"
0","
-6"
Ahmad Caver,G,5,0-2,0-0,1-2,0,0,"
0","
0",0,0,0,0,"
1","
-7"
贾利尔-特里普,F,4,1-1,0-0,4-4,1,1,"
2","
0",1,1,1,0,"
6","
-5"
小贾伦-杰克逊,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科-古杜里奇,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
琼泰-波特,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-克拉克,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
基利安-蒂利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
