雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
唐特-迪温琴佐,G,23,3-8,1-4,0-0,1,4,"
5","
2",2,0,4,0,"
7","
-6"
朱-霍勒迪,G,21,2-7,0-3,0-0,2,3,"
5","
4",3,1,2,0,"
4","
-9"
扬尼斯-阿德托昆博,F,25,9-19,1-4,6-7,0,10,"
10","
1",4,1,3,0,"
25","
-12"
克里斯-米德尔顿,F,25,4-8,1-3,9-9,0,2,"
2","
4",1,2,2,1,"
18","
-2"
布鲁克-洛佩斯,C,15,2-5,1-3,0-0,0,2,"
2","
0",1,0,1,1,"
5","
-10"
博比-波蒂斯,F-C,20,7-15,0-1,0-2,1,12,"
13","
2",3,0,1,0,"
14","
-5"
DJ-奥古斯丁,G,19,1-3,1-2,0-0,0,0,"
0","
4",0,0,0,0,"
3","
-13"
布林-福布斯,G,15,1-5,0-3,0-0,1,1,"
2","
0",1,0,1,0,"
2","
-4"
托里-克雷格,F,15,0-3,0-2,0-0,2,2,"
4","
3",1,1,0,1,"
0","
-1"
帕特-康诺顿,G,14,0-2,0-1,0-0,1,3,"
4","
1",0,0,0,0,"
0","
-12"
萨纳西斯-阿德托昆博,F,14,1-2,0-1,0-0,0,2,"
2","
0",0,1,0,1,"
2","
+4"
DJ-威尔森,F,12,6-9,2-4,0-0,1,0,"
1","
1",1,0,0,1,"
14","
+7"
乔丹-沃拉,F,8,1-3,1-2,0-0,1,1,"
2","
1",1,0,1,0,"
3","
+3"
萨姆-梅里尔,G,7,1-3,1-3,0-0,0,0,"
0","
0",1,0,0,0,"
3","
+3"
杰伦-亚当斯,G,6,0-2,0-2,2-2,0,1,"
1","
1",1,0,0,0,"
2","
+5"
Mamadi Diakite,F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2"
EJ-蒙哥马利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷韦恩-格雷厄姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼克-斯陶斯卡斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-巴顿,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢卡-东契奇,G,16,5-13,3-5,0-0,0,2,"
2","
4",2,0,1,0,"
13","
-9
"
约什-理查德森,G,16,3-6,3-4,0-0,0,1,"
1","
1",1,1,0,0,"
9","
-9
"
小蒂姆-哈达威,F,16,2-9,1-6,1-1,0,2,"
2","
1",0,0,0,0,"
6","
-9
"
多里安-芬尼-史密斯,F,16,1-3,1-2,0-0,2,3,"
5","
2",4,0,1,0,"
3","
-9
"
德怀特-鲍威尔,C,16,2-5,0-1,1-2,1,5,"
6","
0",2,0,0,0,"
5","
-9
"
特雷-伯克,G,16,4-8,1-4,0-0,1,0,"
1","
2",0,1,1,0,"
9","
+16"
约什-格林,G,16,2-7,0-1,0-0,1,0,"
1","
2",2,1,1,0,"
4","
+16"
杰伦-布伦森,G,16,3-6,1-2,3-4,0,2,"
2","
4",0,1,2,0,"
10","
+16"
马克西-克勒贝尔,C,16,3-5,3-5,4-4,1,6,"
7","
0",0,0,0,0,"
13","
+16"
泰勒-贝,F-G,15,2-5,0-1,0-0,0,0,"
0","
0",1,0,1,2,"
4","
+3"
Nate Hinton,G,15,3-6,1-2,1-1,3,5,"
8","
4",0,1,1,0,"
8","
+3"
泰雷尔-特里,G,15,1-6,1-3,2-2,0,1,"
1","
1",2,1,1,0,"
5","
+3"
韦斯利-艾旺杜,G-F,10,1-5,0-2,0-0,0,2,"
2","
3",0,1,0,0,"
2","
+8"
博班-马里亚诺维奇,C,10,4-6,0-1,1-1,0,5,"
5","
1",2,0,1,0,"
9","
+8"
威利-考利-斯坦,C,9,2-4,0-1,0-0,0,5,"
5","
0",0,1,2,0,"
4","
+13"
詹姆斯-约翰逊,F,8,1-1,1-1,0-0,0,2,"
2","
1",2,0,0,0,"
3","
+3"
Devonte Patterson,F,6,1-2,1-1,0-0,0,0,"
0","
1",0,0,0,0,"
3","
-5"
Freddie Gillespie,F,6,1-2,0-1,0-0,0,1,"
1","
0",1,0,1,0,"
2","
-5"
考特尼-李,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯塔普斯-波尔津吉斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
