骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
艾萨克-奥科罗,G,33,6-9,2-4,4-4,0,1,"
1","
1",2,3,4,0,"
18","
+13"
达里厄斯-加兰,G,22,6-11,1-4,1-1,0,1,"
1","
1",1,1,5,0,"
14","
-13"
切迪-奥斯曼,F,22,6-11,3-6,8-9,0,5,"
5","
1",2,1,0,0,"
23","
-3"
凯文-乐福,F,14,2-5,1-3,1-2,0,1,"
1","
1",3,0,2,0,"
6","
0"
安德烈-德拉蒙德,C,14,1-3,0-0,0-0,1,4,"
5","
0",3,2,3,1,"
2","
-3"
索恩-梅克,F-C,27,5-10,0-3,0-2,2,8,"
10","
3",3,2,2,0,"
10","
+16"
丹特-埃克萨姆,G,24,3-8,0-2,1-4,0,0,"
0","
5",0,1,5,0,"
7","
+5"
迪伦-温德勒,G-F,23,2-6,0-3,4-7,2,6,"
8","
1",2,0,1,0,"
8","
+6"
丹伊恩-多特森,G,19,5-6,2-2,0-0,0,2,"
2","
3",0,1,1,0,"
12","
+11"
小拉里-南斯,F-C,17,3-5,0-1,1-3,2,8,"
10","
2",1,1,2,0,"
7","
+4"
马克斯-博尔登,C-F,12,0-2,0-0,0-0,3,0,"
3","
0",4,0,0,0,"
0","
-12"
马修-戴拉维多瓦,G,9,0-0,0-0,0-0,1,0,"
1","
2",2,0,1,0,"
0","
+1"
迪恩-韦德,F-C,5,0-3,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-10"
小凯文-波特,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马特-穆尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Charles Matthews,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科林-塞克斯顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾维尔-麦基,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
利瓦伊-兰多夫,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Lamar Stevens,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马尔科姆-布罗格登,G,24,6-10,4-7,0-0,1,3,"
4","
5",2,2,2,1,"
16","
+3
"
维克托-奥拉迪波,G,21,2-6,0-4,2-2,1,3,"
4","
1",5,2,4,0,"
6","
-4
"
多曼塔斯-萨博尼斯,F,26,5-12,0-3,6-10,4,9,"
13","
2",2,1,5,0,"
16","
+9
"
阿龙-霍勒迪,F,23,1-5,1-3,0-0,0,0,"
0","
4",3,1,5,0,"
3","
+2
"
迈尔斯-特纳,C,27,4-7,2-4,4-7,0,6,"
6","
1",4,0,3,3,"
14","
0
"
道格-麦克德莫特,F,28,4-8,1-5,4-4,0,2,"
2","
1",3,1,0,0,"
13","
-4"
贾斯廷-霍勒迪,F-G,22,4-10,4-7,0-0,1,1,"
2","
1",1,3,0,1,"
12","
+16"
TJ-麦康奈尔,G,21,1-5,0-1,1-2,1,4,"
5","
9",4,2,2,0,"
3","
+10"
埃德蒙-萨姆纳,G,14,1-3,0-0,3-3,0,0,"
0","
0",2,0,2,0,"
5","
-16"
凯勒-马丁,F,12,4-9,2-6,1-2,0,1,"
1","
1",0,1,0,0,"
11","
-11"
亚卡尔-桑普森,F,11,0-1,0-1,0-0,0,1,"
1","
1",1,0,0,0,"
0","
-10"
卡修斯-斯坦利,G,10,2-4,1-3,0-0,0,0,"
0","
0",1,0,1,0,"
5","
-9"
Rayshaun Hammonds,F,1,0-0,0-0,0-0,0,0,"
0","
0",2,0,0,0,"
0","
-1"
阿米达-布里马,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戈加-比塔泽,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里米-兰姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-沃伦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
