公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
科比-怀特,G,32,7-15,4-7,2-2,1,2,"
3","
5",3,0,4,1,"
20","
+14"
扎克-拉文,G,27,8-14,3-7,4-6,3,6,"
9","
5",1,0,1,1,"
23","
+8"
劳里-马尔卡宁,F,26,1-10,0-5,1-2,3,4,"
7","
1",1,1,2,1,"
3","
-12"
奥托-波特,F,24,5-8,1-3,1-1,3,4,"
7","
2",1,0,3,0,"
12","
-2"
温德尔-卡特,C,23,3-11,1-4,0-0,1,5,"
6","
3",2,1,0,0,"
7","
+7"
帕特里克-威廉姆斯,F,28,4-12,2-3,3-6,1,2,"
3","
0",4,3,4,0,"
13","
+5"
钱德勒-哈奇森,F-G,22,2-4,0-0,2-2,1,7,"
8","
2",2,1,1,0,"
6","
+4"
里安-阿尔奇迪亚科诺,G,21,2-9,2-5,0-0,1,3,"
4","
5",1,0,1,0,"
6","
+1"
小扎克-诺维尔,G-F,14,3-8,1-6,0-0,0,1,"
1","
1",0,0,0,0,"
7","
+20"
丹尼尔-加福德,F-C,12,2-3,0-0,0-0,0,4,"
4","
0",1,1,1,2,"
4","
+3"
克里斯蒂亚诺-费利西奥,F-C,8,0-0,0-0,1-2,1,4,"
5","
2",1,0,0,0,"
1","
+10"
西米索拉-希图,C-F,4,0-0,0-0,2-2,0,0,"
0","
0",0,1,0,0,"
2","
+7"
亚当-莫科卡,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺阿-冯莱,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文-多特森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
托马什-萨托兰斯基,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
赛迪斯-杨,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加莱特-坦普尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-科内特,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
登泽尔-瓦伦丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
约翰-沃尔,G,24,7-17,2-6,5-6,0,2,"
2","
4",3,0,3,0,"
21","
-4
"
埃里克-戈登,G,17,2-7,2-6,4-5,0,1,"
1","
1",0,0,2,0,"
10","
+8
"
丹纽尔-豪斯,F,22,1-3,1-3,0-0,0,4,"
4","
0",0,0,1,0,"
3","
-3
"
宰希恩-泰特,F,20,0-2,0-2,0-0,3,3,"
6","
2",3,1,0,0,"
0","
-1
"
德马库斯-考辛斯,C,17,3-7,2-4,2-2,0,6,"
6","
0",2,0,2,2,"
10","
+1
"
布鲁诺-卡博克洛,F,22,1-5,0-2,0-0,0,5,"
5","
1",5,2,1,0,"
2","
-4"
本-麦克勒摩,G,19,3-6,2-5,2-3,0,1,"
1","
0",1,0,1,0,"
10","
0"
克里斯-克莱蒙斯,G,17,3-8,1-5,0-0,0,5,"
5","
1",2,0,2,2,"
7","
-14"
大卫-努瓦巴,G-F,16,5-10,0-4,1-1,1,0,"
1","
0",3,4,1,1,"
11","
0"
杰里安-格兰特,G,14,1-4,1-3,0-0,0,2,"
2","
4",1,0,0,0,"
3","
+1"
杰拉德-格林,G-F,11,2-5,1-2,2-2,1,2,"
3","
1",0,1,0,0,"
7","
+1"
小肯扬-马丁,F,10,2-4,0-2,1-1,0,3,"
3","
0",0,1,2,0,"
5","
-16"
布罗德里克-托马斯,G,9,0-3,0-2,0-0,0,2,"
2","
0",0,0,0,0,"
0","
-8"
肯尼-伍滕,F,9,0-1,0-0,0-0,1,1,"
2","
0",0,0,1,1,"
0","
-10"
梅森-琼斯,G,8,0-3,0-1,0-0,0,1,"
1","
0",1,0,2,0,"
0","
-10"
特雷夫林-奎因,G,6,0-2,0-0,2-2,3,0,"
3","
1",2,0,0,1,"
2","
-6"
克里斯蒂安-伍德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
詹姆斯-哈登,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯特林-布朗,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-塔克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
