热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯德里克-纳恩,G,32,5-14,0-6,1-1,2,1,"
3","
5",0,0,3,0,"
11","
-14"
泰勒-希罗,G,28,7-14,2-7,1-2,0,5,"
5","
6",4,0,0,0,"
17","
-1"
邓肯-罗宾逊,F,24,5-9,4-8,0-0,0,2,"
2","
0",0,0,0,0,"
14","
0"
莫里斯-哈克利斯,F,14,2-5,1-4,0-0,1,1,"
2","
0",6,0,0,1,"
5","
-6"
巴姆-阿德巴约,C,19,3-5,0-0,3-4,1,2,"
3","
8",2,2,2,1,"
9","
+6"
埃弗里-布拉德利,G,25,2-6,0-4,2-2,0,4,"
4","
0",3,0,3,0,"
6","
-11"
马克思-斯特鲁斯,G-F,24,4-13,3-11,0-0,3,5,"
8","
4",2,0,1,0,"
11","
-22"
迈耶斯-伦纳德,F-C,22,2-5,2-5,2-2,0,4,"
4","
1",3,2,2,2,"
8","
-8"
普雷舍斯-阿丘瓦,F,20,4-5,0-0,0-0,0,2,"
2","
1",2,1,1,0,"
8","
-10"
KZ-奥克帕拉,F-G,20,1-2,1-1,0-0,0,1,"
1","
0",3,0,0,0,"
3","
-26"
BJ-约翰逊,F,7,0-2,0-0,0-0,0,1,"
1","
0",0,0,1,0,"
0","
-9"
布里因-泰里,G,4,0-2,0-0,0-0,0,0,"
0","
1",1,0,0,0,"
0","
-9"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-席尔瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吉米-巴特勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-埃布瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯利-奥利尼克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
盖布-文森特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戈兰-德拉季奇,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
鹈鹕
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
约什-哈特,G,33,4-10,1-7,2-2,0,4,"
4","
1",0,4,1,0,"
11","
+12
"
朗佐-鲍尔,G,31,5-15,2-9,0-0,1,3,"
4","
6",2,0,1,0,"
12","
+10
"
蔡恩-威廉森,F,33,8-13,0-0,10-11,3,8,"
11","
2",1,0,4,0,"
26","
+12
"
布兰登-英格拉姆,F,31,7-13,2-5,6-6,0,6,"
6","
6",0,3,3,1,"
22","
+15
"
史蒂文-亚当斯,C,19,3-4,0-0,1-4,5,3,"
8","
1",3,1,0,0,"
7","
+1
"
贾克森-海斯,C-F,25,1-6,0-0,4-4,3,3,"
6","
0",0,1,0,1,"
6","
+12"
尼基尔-亚历山大-沃克,G,21,5-11,4-8,0-0,1,4,"
5","
2",3,0,0,0,"
14","
+15"
尼科洛-梅利,F,19,2-7,1-4,3-4,2,2,"
4","
0",3,0,0,0,"
8","
+19"
辛达里厄斯-桑韦尔,G,17,1-3,1-3,0-0,0,1,"
1","
2",1,0,2,1,"
3","
+17"
小凯拉-刘易斯,G,10,2-3,1-2,0-0,0,2,"
2","
0",0,0,0,0,"
5","
-3"
韦尼恩-加布里埃尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
JJ-雷迪克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗尔-阿尔金斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊凯-阿尼博古,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾罗德-尤托夫,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威尔-马格奈,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳吉-马绍尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-布莱索,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吉列尔莫-埃尔南戈麦斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
托尼-卡尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
