独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢卡-东契奇,G,27,6-18,0-6,8-9,2,3,"
5","
7",4,0,4,0,"
21","
+21"
约什-理查德森,G,27,5-8,3-5,0-0,0,3,"
3","
3",2,0,0,0,"
13","
+21"
多里安-芬尼-史密斯,F,26,5-7,3-3,0-0,1,4,"
5","
0",0,0,1,2,"
13","
+23"
小蒂姆-哈达威,F,25,6-8,4-5,2-2,0,6,"
6","
3",0,0,1,1,"
18","
+14"
德怀特-鲍威尔,C,20,3-8,1-3,1-1,1,5,"
6","
3",2,0,0,0,"
8","
+8"
约什-格林,G,19,1-5,1-1,0-0,0,1,"
1","
3",2,0,0,0,"
3","
-17"
特雷-伯克,G,17,3-5,1-3,2-2,0,0,"
0","
4",3,0,2,0,"
9","
-6"
马克西-克勒贝尔,C,17,4-6,4-6,2-2,0,1,"
1","
0",2,0,0,4,"
14","
+5"
詹姆斯-约翰逊,F,17,2-5,1-4,0-0,0,3,"
3","
4",3,0,2,1,"
5","
-13"
杰伦-布伦森,G,15,1-9,1-3,2-2,2,2,"
4","
0",1,0,1,0,"
5","
-11"
泰勒-贝,F-G,10,0-3,0-1,4-4,1,3,"
4","
0",1,1,0,0,"
4","
-12"
泰雷尔-特里,G,10,1-5,0-1,0-0,0,1,"
1","
1",0,0,1,0,"
2","
-12"
博班-马里亚诺维奇,C,10,3-7,0-1,0-0,0,2,"
2","
0",2,0,2,0,"
6","
-10"
考特尼-李,G,6,1-1,1-1,0-1,0,0,"
0","
0",0,0,0,0,"
3","
-4"
威利-考利-斯坦,C,6,1-3,0-1,0-0,1,2,"
3","
0",2,0,0,0,"
2","
-6"
韦斯利-艾旺杜,G-F,5,0-1,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-10"
内特-辛顿,G,5,0-0,0-0,2-2,0,1,"
1","
0",0,0,0,0,"
2","
-2"
德文特-帕特森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+1"
克里斯塔普斯-波尔津吉斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗雷迪-吉莱斯皮,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马利克-比斯利,G,24,7-13,3-4,1-2,2,9,"
11","
2",2,1,1,0,"
18","
+7
"
里基-卢比奥,G,23,3-5,0-2,1-3,0,1,"
1","
4",2,1,1,0,"
7","
-13
"
杰克-莱曼,F,22,3-6,1-2,1-2,0,2,"
2","
0",2,0,1,0,"
8","
-3
"
约什-奥科吉,F,18,3-5,2-3,0-0,1,1,"
2","
2",1,1,0,2,"
8","
-29
"
卡尔-安东尼-唐斯,C,27,8-14,2-6,2-2,2,5,"
7","
3",5,1,4,0,"
20","
-8
"
贾勒特-卡尔弗,G-F,27,5-12,2-3,6-6,1,3,"
4","
4",2,2,2,2,"
18","
+25"
安东尼-爱德华兹,F-G,26,5-15,3-8,4-4,0,3,"
3","
3",3,0,0,0,"
17","
+6"
纳兹-里德,C-F,26,5-15,0-4,4-6,2,5,"
7","
3",4,1,2,2,"
14","
+10"
杰伦-诺埃尔,G,17,5-6,1-2,2-2,1,2,"
3","
0",2,0,0,1,"
13","
+5"
胡安-埃尔南戈麦斯,F,16,0-2,0-2,0-0,0,4,"
4","
1",2,0,0,0,"
0","
-1"
贾里德-范德比尔特,F,15,0-1,0-0,0-0,2,3,"
5","
1",2,0,1,1,"
0","
+4"
朗戴-霍利斯-杰弗森,F,12,2-3,0-0,2-2,1,2,"
3","
2",1,0,2,0,"
6","
+3"
杰登-麦克丹尼尔斯,F,9,0-0,0-0,0-0,0,2,"
2","
1",1,0,1,2,"
0","
+6"
阿什顿-哈根斯,G-F,3,0-1,0-0,0-0,0,1,"
1","
1",1,0,0,0,"
0","
-2"
埃德-戴维斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿德-莫凯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-库克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹吉洛-拉塞尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
