奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布拉德利-比尔,G,27,7-15,0-7,1-1,1,2,"
3","
5",1,1,1,1,"
15","
+1"
拉塞尔-威斯布鲁克,G,17,4-10,0-3,0-0,2,5,"
7","
3",1,0,1,0,"
8","
+11"
德尼-阿夫迪亚,F,32,3-8,2-4,1-2,0,10,"
10","
2",2,3,1,0,"
9","
+6"
安东尼-吉尔,F,16,1-3,0-2,0-0,0,0,"
0","
0",2,0,1,0,"
2","
-1"
托马斯-布莱恩特,C,25,7-12,3-6,5-5,1,6,"
7","
1",1,1,0,0,"
22","
+3"
伊斯梅尔-史密斯,G,23,0-5,0-1,0-0,0,2,"
2","
8",1,1,1,0,"
0","
+5"
特洛伊-布朗,F-G,21,3-7,3-5,0-0,0,3,"
3","
1",0,3,3,0,"
9","
+1"
劳尔-内托,G,19,4-7,2-4,0-0,0,2,"
2","
0",1,2,1,0,"
10","
+7"
罗宾-洛佩斯,C,16,6-8,1-2,0-2,0,3,"
3","
0",1,0,2,1,"
13","
-3"
杰罗姆-罗宾逊,G,15,2-6,1-3,1-2,0,4,"
4","
1",0,0,0,0,"
6","
-6"
戴维斯-贝尔坦斯,F,11,1-7,1-7,0-0,0,1,"
1","
1",2,3,2,1,"
3","
+3"
伊萨克-邦加,F,7,0-0,0-0,1-2,0,1,"
1","
0",0,0,2,0,"
1","
-12"
莫里茨-瓦格纳,F-C,7,0-1,0-0,0-0,0,1,"
1","
1",1,0,1,0,"
0","
+3"
卡修斯-温斯顿,G,5,0-0,0-0,1-2,0,1,"
1","
1",1,0,1,0,"
1","
-3"
加里森-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
八村垒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安热伊斯-帕塞奇尼克斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
活塞
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
基利安-海耶斯,G,21,4-11,2-6,1-1,0,3,"
3","
2",4,2,1,0,"
11","
0
"
德朗-赖特,G,18,3-5,1-2,2-2,1,3,"
4","
1",1,2,0,0,"
9","
+1
"
杰拉米-格兰特,F,33,4-14,2-7,4-6,2,7,"
9","
2",3,1,2,0,"
14","
-9
"
布雷克-格里芬,F,25,5-12,1-7,0-0,0,4,"
4","
3",1,0,0,0,"
11","
-3
"
梅森-普拉姆利,C,23,1-1,0-0,0-2,1,7,"
8","
2",3,0,1,0,"
2","
0
"
德里克-罗斯,G,27,6-14,2-5,0-0,0,2,"
2","
5",2,2,5,1,"
14","
+2"
约什-杰克逊,G-F,22,4-8,3-7,2-2,1,7,"
8","
1",1,2,3,1,"
13","
+1"
斯维亚托斯拉夫-米哈伊柳克,G-F,21,4-10,3-6,0-0,2,1,"
3","
1",1,2,4,0,"
11","
-1"
贾利尔-奥卡福,C-F,20,3-5,0-0,2-2,1,3,"
4","
0",1,1,0,0,"
8","
-6"
塞古-敦布亚,F,14,0-2,0-1,0-2,0,3,"
3","
0",2,0,2,0,"
0","
+4"
韦恩-艾灵顿,G,9,1-5,1-5,0-0,0,1,"
1","
1",0,0,2,0,"
3","
-6"
以赛亚-斯图尔特,F-C,5,0-0,0-0,0-0,0,2,"
2","
0",0,0,0,0,"
0","
+3"
萨迪克-贝,F,3,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-1"
萨宾-李,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎南-穆萨,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
代维达斯-西尔维迪斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-麦格鲁德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
