湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
丹尼斯-施罗德,G,28,5-15,2-5,2-4,1,11,"
12","
8",4,0,1,0,"
14","
-10"
肯塔维厄斯-考德威尔-波普,G,23,2-4,1-3,4-4,0,2,"
2","
1",2,2,2,1,"
9","
-9"
安东尼-戴维斯,F,31,8-15,0-2,2-2,0,7,"
7","
2",1,0,4,0,"
18","
-16"
勒布朗-詹姆斯,F,28,7-17,3-8,5-7,2,3,"
5","
5",2,0,4,0,"
22","
+2"
马克-加索尔,C,12,0-0,0-0,0-0,0,1,"
1","
1",5,0,1,0,"
0","
-8"
蒙特雷兹-哈雷尔,F-C,32,6-7,0-0,5-7,4,6,"
10","
3",1,0,1,1,"
17","
-3"
凯尔-库兹马,F,27,6-11,1-3,2-2,0,1,"
1","
0",2,0,2,0,"
15","
+1"
马基夫-莫里斯,F,19,1-3,1-2,2-3,1,3,"
4","
1",0,0,0,0,"
5","
+14"
亚历克斯-卡鲁索,G,17,1-5,1-4,0-0,0,2,"
2","
1",0,0,3,0,"
3","
+3"
韦斯利-马修斯,G,11,0-2,0-2,0-0,0,0,"
0","
0",0,1,0,0,"
0","
-18"
塔伦-霍顿-塔克,G,11,2-2,0-0,2-2,0,1,"
1","
0",3,1,1,0,"
6","
+7"
奎因-库克,G,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2"
阿方索-麦金尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文泰-卡考克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-杜德利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
保罗-乔治,G,36,13-18,5-8,2-2,0,6,"
6","
3",3,1,5,0,"
33","
+17
"
帕特里克-贝弗利,G,22,4-9,2-5,0-0,4,2,"
6","
3",4,0,2,0,"
10","
+10
"
科怀-伦纳德,F,34,10-26,1-8,5-5,0,2,"
2","
3",5,2,3,0,"
26","
+1
"
尼古拉斯-巴图姆,F,28,1-4,1-3,0-0,1,5,"
6","
6",2,2,1,0,"
3","
-2
"
赛尔吉-伊巴卡,C,21,5-7,2-3,3-5,2,4,"
6","
0",3,0,1,1,"
15","
-8
"
伊维察-祖巴茨,C,27,4-5,0-0,3-4,3,3,"
6","
1",4,1,1,1,"
11","
+17"
路易斯-威廉姆斯,G,26,4-9,2-4,1-3,0,2,"
2","
3",2,0,1,0,"
11","
+1"
卢克-肯纳德,G,21,2-6,0-3,0-0,0,2,"
2","
2",3,2,1,1,"
4","
-3"
帕特里克-帕特森,F,20,1-5,1-4,0-0,1,2,"
3","
1",2,2,1,0,"
3","
+9"
雷吉-杰克逊,G,3,0-3,0-2,0-0,0,1,"
1","
0",1,0,0,0,"
0","
-1"
特伦斯-曼恩,G-F,1,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-2"
菲翁杜-卡本盖莱,F-C,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-2"
阿米尔-科菲,G-F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-2"
马库斯-莫里斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼尔-奥图鲁,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伊-斯库布,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
