76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
本-西蒙斯,G,32,7-12,0-0,2-6,1,8,"
9","
7",3,2,4,3,"
16","
-2"
塞思-库里,G,32,4-8,1-5,4-4,0,0,"
0","
4",4,2,1,0,"
13","
-1"
托拜厄斯-哈里斯,F,31,3-13,0-4,4-4,4,4,"
8","
0",4,0,2,1,"
10","
-7"
丹尼-格林,F,18,1-6,0-4,0-0,0,0,"
0","
2",2,2,1,0,"
2","
-27"
乔尔-恩比德,C,35,10-17,1-1,8-9,2,12,"
14","
2",3,0,3,1,"
29","
-2"
谢克-米尔顿,G-F,30,6-11,2-4,5-7,0,1,"
1","
3",3,3,0,0,"
19","
+33"
富尔坎-科尔克马兹,G-F,20,4-9,3-6,0-0,0,1,"
1","
0",1,1,2,2,"
11","
+14"
迈克-斯科特,F,17,1-3,1-3,0-0,0,2,"
2","
0",1,1,0,0,"
3","
+13"
德怀特-霍华德,C-F,13,2-2,0-0,0-0,3,7,"
10","
2",3,0,2,1,"
4","
+8"
泰雷斯-马克西,G,11,3-6,0-1,0-0,0,2,"
2","
2",0,0,1,0,"
6","
+3"
马蒂斯-赛布尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-2"
托尼-布拉德利,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达库塔-马蒂亚斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-弗格森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-里德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-乔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
拉塞尔-威斯布鲁克,G,36,9-22,0-2,3-5,2,9,"
11","
15",3,0,6,0,"
21","
+10
"
布拉德利-比尔,G,36,11-22,3-8,6-7,0,2,"
2","
3",3,4,6,0,"
31","
+6
"
德尼-阿夫迪亚,F,28,2-2,2-2,1-2,0,4,"
4","
1",3,1,1,0,"
7","
+14
"
伊萨克-邦加,F,17,2-3,1-1,0-1,1,2,"
3","
2",2,2,1,0,"
5","
+7
"
托马斯-布莱恩特,C,26,5-13,0-3,0-1,1,4,"
5","
0",5,0,2,1,"
10","
+2
"
伊斯梅尔-史密斯,G,23,2-7,1-2,2-2,0,4,"
4","
3",1,0,1,1,"
7","
-21"
特洛伊-布朗,G-F,22,1-3,1-2,0-0,0,3,"
3","
1",2,0,0,0,"
3","
-23"
戴维斯-贝尔坦斯,F,20,4-7,4-6,2-2,0,3,"
3","
1",0,0,0,1,"
14","
-3"
罗宾-洛佩斯,C,17,1-3,1-1,0-0,1,2,"
3","
0",4,0,2,1,"
3","
-16"
劳尔-内托,G,10,0-1,0-0,2-3,0,0,"
0","
1",0,0,0,0,"
2","
-14"
莫里茨-瓦格纳,F-C,6,2-2,0-0,0-0,0,2,"
2","
1",3,0,0,0,"
4","
+8"
加里森-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰罗姆-罗宾逊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼-吉尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
八村垒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡修斯-温斯顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安热伊斯-帕塞奇尼克斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
