凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马库斯-斯马特,G,38,0-3,0-2,3-4,0,1,"
1","
7",2,0,2,2,"
3","
0"
杰伦-布朗,G,38,13-24,3-8,4-4,0,5,"
5","
4",3,2,0,1,"
33","
+8"
杰森-塔特姆,F,33,12-28,6-13,0-0,0,7,"
7","
2",2,2,2,1,"
30","
-6"
特里斯坦-汤普森,F,22,6-10,0-0,0-0,4,4,"
8","
1",3,0,0,0,"
12","
-6"
丹尼尔-泰斯,C,25,4-8,2-6,0-0,0,3,"
3","
3",1,0,0,0,"
10","
+7"
杰夫-蒂格,G,25,7-15,4-4,1-2,2,1,"
3","
4",1,2,0,1,"
19","
+8"
谢米-奥杰莱,F,19,2-2,1-1,0-1,1,3,"
4","
1",1,0,0,0,"
5","
+20"
格兰特-威廉姆斯,F,15,1-5,1-4,0-0,0,1,"
1","
1",2,1,1,0,"
3","
-19"
佩顿-普里查德,G,13,1-4,1-2,0-0,0,1,"
1","
0",1,1,0,0,"
3","
-2"
罗伯特-威廉姆斯,C-F,12,2-2,0-0,0-0,3,1,"
4","
0",1,0,1,1,"
4","
-5"
阿龙-内史密斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾文特-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗密欧-兰福德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡森-爱德华兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯巴-沃克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
朱-霍勒迪,G,38,10-16,1-4,4-4,2,4,"
6","
3",3,2,3,1,"
25","
-5
"
唐特-迪温琴佐,G,27,6-11,3-4,0-0,2,3,"
5","
3",3,2,1,0,"
15","
+4
"
克里斯-米德尔顿,F,38,10-20,3-8,4-4,2,12,"
14","
8",2,0,2,0,"
27","
+7
"
扬尼斯-阿德托昆博,F,36,13-26,3-8,6-8,2,11,"
13","
2",5,0,7,2,"
35","
-1
"
布鲁克-洛佩斯,C,29,3-4,1-2,0-0,2,1,"
3","
0",3,0,0,2,"
7","
+22
"
帕特-康诺顿,G,23,2-3,2-3,0-0,0,1,"
1","
1",1,0,1,0,"
6","
-14"
博比-波蒂斯,F,16,1-3,0-0,1-2,1,3,"
4","
1",0,0,1,0,"
3","
-16"
布林-福布斯,G,14,1-5,1-4,0-0,0,1,"
1","
0",1,0,0,0,"
3","
+4"
DJ-威尔森,F,13,0-2,0-2,0-0,0,5,"
5","
1",2,0,1,1,"
0","
-6"
萨姆-梅里尔,G,5,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
萨纳西斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
DJ-奥古斯丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
托里-克雷格,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马马迪-迪亚基特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-沃拉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-亚当斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
