森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马利克-比斯利,G,27,10-18,3-9,0-0,1,3,"
4","
2",3,1,1,0,"
23","
+12"
里基-卢比奥,G,25,1-4,0-1,1-2,0,1,"
1","
3",3,2,1,0,"
3","
+17"
约什-奥科吉,F,33,4-9,1-4,3-3,1,3,"
4","
2",3,0,2,0,"
12","
+17"
杰克-莱曼,F,17,0-3,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-15"
卡尔-安东尼-唐斯,C,30,6-10,2-4,8-8,3,8,"
11","
7",4,1,4,2,"
22","
+11"
丹吉洛-拉塞尔,G,33,7-16,4-11,0-0,1,4,"
5","
4",2,1,2,0,"
18","
+5"
安东尼-爱德华兹,G,25,5-12,1-5,4-4,2,2,"
4","
4",1,0,1,0,"
15","
+4"
贾勒特-卡尔弗,G-F,21,3-6,0-1,4-5,2,8,"
10","
2",0,0,0,0,"
10","
+7"
纳兹-里德,C-F,18,2-5,0-1,4-6,2,3,"
5","
1",0,0,0,3,"
8","
-1"
胡安-埃尔南戈麦斯,F,12,0-5,0-4,0-0,0,3,"
3","
0",0,1,0,0,"
0","
-7"
乔丹-麦克劳克林,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰登-麦克丹尼尔斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德-戴维斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿什顿-哈根斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-诺埃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
活塞
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
基利安-海耶斯,G,21,3-6,1-2,0-0,0,1,"
1","
3",2,0,4,0,"
7","
-3
"
德朗-赖特,G,19,2-5,1-3,0-0,0,2,"
2","
4",0,1,1,0,"
5","
+3
"
布雷克-格里芬,F,35,6-13,0-5,3-5,0,7,"
7","
2",2,0,2,1,"
15","
-15
"
杰拉米-格兰特,F,31,4-11,1-5,0-0,0,1,"
1","
3",0,1,0,0,"
9","
-14
"
梅森-普拉姆利,C,32,7-8,0-0,0-0,1,7,"
8","
6",4,0,0,0,"
14","
-9
"
约什-杰克逊,G-F,29,8-14,3-7,0-0,0,6,"
6","
2",5,1,2,0,"
19","
-13"
德里克-罗斯,G,27,7-13,1-3,0-2,0,1,"
1","
6",1,2,1,1,"
15","
-7"
斯维亚托斯拉夫-米哈伊柳克,G-F,17,1-8,1-8,0-0,0,2,"
2","
1",1,0,0,0,"
3","
+4"
贾利尔-奥卡福,C-F,15,4-7,0-0,0-0,4,3,"
7","
1",4,0,2,0,"
8","
-1"
塞古-敦布亚,F,13,3-8,0-2,0-1,2,7,"
9","
1",1,0,0,0,"
6","
+5"
韦恩-艾灵顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
萨宾-李,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-斯图尔特,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
代维达斯-西尔维迪斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-麦格鲁德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
萨迪克-贝,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
