骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
科林-塞克斯顿,G,37,9-16,3-4,6-9,0,2,"
2","
5",4,0,2,0,"
27","
+6"
达里厄斯-加兰,G,33,7-13,4-8,4-4,0,6,"
6","
6",3,1,2,0,"
22","
+4"
小拉里-南斯,F,34,5-9,1-1,2-2,5,8,"
13","
8",4,3,2,2,"
13","
+3"
艾萨克-奥科罗,F,34,4-5,1-2,2-2,0,3,"
3","
5",1,0,2,0,"
11","
+7"
安德烈-德拉蒙德,C,27,7-18,0-1,0-0,3,11,"
14","
4",2,1,5,0,"
14","
-5"
贾维尔-麦基,C-F,19,6-7,0-1,1-1,1,6,"
7","
1",3,1,1,1,"
13","
+12"
切迪-奥斯曼,F,18,4-9,3-6,0-0,1,3,"
4","
2",2,0,1,0,"
11","
-4"
迪恩-韦德,F-C,16,3-4,1-2,0-0,0,0,"
0","
3",3,3,2,0,"
7","
+2"
丹伊恩-多特森,G,14,0-1,0-1,0-0,0,1,"
1","
0",0,1,0,0,"
0","
+14"
迪伦-温德勒,G-F,9,1-5,1-4,0-0,0,0,"
0","
0",0,2,1,0,"
3","
-4"
马克斯-博尔登,C,0,0-0,0-0,0-2,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉马尔-史蒂文斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小凯文-波特,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-乐福,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
索恩-梅克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹特-埃克萨姆,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马修-戴拉维多瓦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特里-罗齐尔,G,38,15-23,10-16,2-4,1,2,"
3","
2",5,2,3,1,"
42","
-4
"
德文特-格雷厄姆,G,37,4-13,2-9,0-0,2,1,"
3","
10",1,0,2,0,"
10","
-7
"
戈登-海沃德,F,36,11-18,4-8,2-2,0,4,"
4","
7",4,1,3,0,"
28","
-2
"
PJ-华盛顿,F,21,1-5,0-1,2-2,0,2,"
2","
2",1,0,0,1,"
4","
-17
"
科迪-泽勒,C,19,3-6,0-2,0-1,1,2,"
3","
0",1,3,1,1,"
6","
-10
"
俾斯麦-比永博,C-F,24,5-5,0-0,1-5,1,3,"
4","
0",1,0,2,1,"
11","
0"
迈尔斯-布里奇斯,F,22,3-10,0-5,0-0,1,5,"
6","
1",1,1,0,0,"
6","
+6"
科迪-马丁,F,21,2-3,0-0,1-1,1,4,"
5","
4",1,0,0,0,"
5","
+2"
拉梅洛-鲍尔,G,16,0-5,0-3,0-0,0,1,"
1","
3",2,2,3,0,"
0","
+2"
杰伦-麦克丹尼尔斯,F-C,6,1-2,0-0,0-0,1,0,"
1","
0",0,1,1,0,"
2","
-5"
凯莱布-马丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼克-理查兹,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小弗农-凯里,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马利克-蒙克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
内特-达林,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
格兰特-里勒,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
