魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃文-富尼耶,G,31,9-13,3-5,4-5,0,0,"
0","
4",2,3,2,0,"
25","
0"
马克尔-富尔茨,G,29,6-15,0-3,3-3,0,5,"
5","
4",4,1,4,1,"
15","
+3"
阿龙-戈登,F,26,8-11,1-4,3-6,3,4,"
7","
0",4,4,2,0,"
20","
+17"
德维恩-培根,F,19,0-5,0-1,0-0,0,3,"
3","
3",2,0,0,0,"
0","
0"
尼古拉-武切维奇,C,34,5-13,3-5,2-8,2,9,"
11","
3",0,1,2,1,"
15","
0"
特伦斯-罗斯,G-F,29,6-14,3-6,4-4,0,3,"
3","
1",1,1,3,0,"
19","
+9"
丘马-奥基基,F,22,1-3,0-1,1-2,2,3,"
5","
2",0,1,1,0,"
3","
-11"
科尔-安东尼,G,19,3-5,0-1,0-0,0,2,"
2","
6",1,2,3,0,"
6","
+3"
迈克尔-卡特-威廉姆斯,G,18,2-5,0-2,0-0,3,0,"
3","
0",2,1,0,1,"
4","
+3"
肯-伯奇,C,14,2-4,0-0,2-2,1,1,"
2","
0",3,1,0,0,"
6","
+6"
艾尔-法鲁克-阿米奴,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-博恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
穆罕默德-班巴,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
詹姆斯-恩尼斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里-克拉克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡里姆-马内,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-艾萨克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
泰勒-希罗,G,32,6-14,1-5,0-0,0,6,"
6","
4",3,0,4,0,"
13","
-7
"
邓肯-罗宾逊,G,30,4-8,3-6,3-3,0,5,"
5","
1",2,0,1,0,"
14","
-5
"
吉米-巴特勒,F,36,7-15,0-0,5-5,1,2,"
3","
7",1,7,6,0,"
19","
-5
"
莫里斯-哈克利斯,F,23,1-4,1-2,0-0,0,2,"
2","
1",0,0,0,0,"
3","
-4
"
巴姆-阿德巴约,C,35,11-16,0-0,3-4,3,8,"
11","
4",4,0,7,1,"
25","
-12
"
戈兰-德拉季奇,G,26,8-13,1-4,3-3,0,4,"
4","
7",4,1,1,0,"
20","
+7"
凯利-奥利尼克,F-C,20,2-6,1-3,0-0,0,3,"
3","
1",2,2,0,0,"
5","
-3"
安德烈-伊格达拉,G-F,17,0-2,0-0,0-0,2,2,"
4","
0",3,1,3,1,"
0","
-3"
普雷舍斯-阿丘瓦,F,14,3-4,0-0,2-4,1,2,"
3","
0",2,0,0,0,"
8","
+6"
肯德里克-纳恩,G,8,0-1,0-0,0-0,0,2,"
2","
0",0,0,0,0,"
0","
-4"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-席尔瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃弗里-布拉德利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈耶斯-伦纳德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
盖布-文森特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
