雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
朱-霍勒迪,G,25,6-9,0-2,0-0,1,3,"
4","
6",1,0,3,1,"
12","
+23"
唐特-迪温琴佐,G,20,5-8,3-5,0-0,1,3,"
4","
0",1,2,2,0,"
13","
+5"
扬尼斯-阿德托昆博,F,27,4-14,0-3,7-15,4,9,"
13","
4",2,0,2,0,"
15","
+26"
克里斯-米德尔顿,F,26,10-15,6-8,5-5,0,4,"
4","
5",2,2,2,0,"
31","
+21"
布鲁克-洛佩斯,C,20,3-6,0-1,2-2,2,2,"
4","
0",1,0,2,1,"
8","
+14"
博比-波蒂斯,F,26,5-9,0-3,0-0,1,11,"
12","
2",1,1,1,1,"
10","
+20"
帕特-康诺顿,G,19,1-3,0-1,0-0,0,7,"
7","
2",0,0,0,0,"
2","
+27"
DJ-威尔森,F,14,3-4,3-3,0-0,0,4,"
4","
0",2,0,1,1,"
9","
+12"
DJ-奥古斯丁,G,13,4-6,3-3,2-2,0,0,"
0","
1",1,0,0,0,"
13","
+10"
布林-福布斯,G,13,3-5,2-3,0-0,0,0,"
0","
0",1,0,0,0,"
8","
+13"
萨纳西斯-阿德托昆博,F,10,2-2,0-0,0-0,0,0,"
0","
1",1,0,1,0,"
4","
+6"
托里-克雷格,F,10,0-1,0-0,0-0,0,4,"
4","
0",2,0,1,0,"
0","
+6"
乔丹-沃拉,F,10,2-6,1-3,2-2,0,1,"
1","
0",2,0,1,0,"
7","
+6"
萨姆-梅里尔,G,8,2-3,2-2,0-0,2,1,"
3","
4",0,1,1,0,"
6","
+6"
马马迪-迪亚基特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-亚当斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
斯蒂芬-库里,G,29,6-17,2-10,5-5,0,4,"
4","
6",2,1,2,0,"
19","
-24
"
凯利-乌布雷,G,20,1-10,0-5,1-2,1,4,"
5","
1",3,1,2,0,"
3","
-15
"
埃里克-帕斯卡尔,F,25,3-8,0-3,1-1,1,1,"
2","
1",2,1,1,0,"
7","
-23
"
安德鲁-威金斯,F,25,6-18,0-4,0-0,3,3,"
6","
0",3,1,1,0,"
12","
-19
"
詹姆斯-怀斯曼,C,25,5-11,3-4,5-6,3,5,"
8","
0",4,0,2,3,"
18","
-16
"
乔丹-普尔,G,19,4-11,1-6,2-2,0,1,"
1","
0",1,0,0,0,"
11","
-15"
布拉德-沃纳梅克,G,19,4-7,1-2,2-2,0,1,"
1","
2",3,1,0,0,"
11","
-15"
达米恩-李,G-F,19,2-4,2-4,3-3,0,2,"
2","
1",0,0,1,0,"
9","
-10"
迈克尔-穆尔德,G,18,1-4,1-4,0-0,0,3,"
3","
0",0,0,0,1,"
3","
-15"
马基斯-克里斯,F,14,1-4,0-2,2-4,0,5,"
5","
1",1,0,2,2,"
4","
-19"
胡安-托斯卡诺-安德森,F,13,0-0,0-0,0-0,1,2,"
3","
1",1,0,0,0,"
0","
-9"
凯文-卢尼,F,11,1-3,0-1,0-0,1,2,"
3","
0",1,0,0,0,"
2","
-11"
肯特-贝兹莫尔,G-F,4,0-2,0-0,0-0,0,0,"
0","
1",1,0,0,0,"
0","
-4"
德雷蒙德-格林,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼科-曼尼恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-斯马伊拉吉奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
