灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾-莫兰特,G,34,10-21,2-7,6-8,1,2,"
3","
7",4,0,2,1,"
28","
-2"
格雷森-阿伦,G,29,2-6,1-5,5-5,3,1,"
4","
2",0,0,0,0,"
10","
-7"
凯尔-安德森,F,36,8-15,2-6,2-2,1,13,"
14","
1",2,0,0,2,"
20","
+1"
狄龙-布鲁克斯,F,31,8-23,3-11,0-0,0,2,"
2","
2",6,2,2,0,"
19","
+7"
约纳斯-瓦兰丘纳斯,C,29,2-6,1-3,8-10,2,10,"
12","
4",5,1,4,1,"
13","
+2"
德斯蒙德-贝恩,G,22,2-2,2-2,0-0,0,1,"
1","
0",4,0,0,0,"
6","
+2"
布兰登-克拉克,F-G,20,2-8,0-1,0-0,1,2,"
3","
1",4,0,0,0,"
4","
-15"
泰厄斯-琼斯,G,16,0-4,0-2,0-0,0,1,"
1","
3",0,0,0,1,"
0","
-8"
约翰-康查尔,G,16,1-3,1-3,4-4,1,3,"
4","
0",1,2,1,1,"
7","
-16"
戈尔吉-吉昂,C,7,2-5,1-3,0-0,0,2,"
2","
0",1,0,1,0,"
5","
-14"
泽维尔-蒂尔曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹东尼-梅尔顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小贾伦-杰克逊,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肖恩-麦克德莫特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
基利安-蒂利,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
琼泰-波特,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特雷-杨,G,35,10-24,1-7,15-17,2,1,"
3","
9",1,0,2,0,"
36","
+12
"
波格丹-波格丹诺维奇,G,32,2-10,1-9,2-2,1,8,"
9","
2",0,1,1,0,"
7","
0
"
德安德烈-亨特,F,35,5-11,2-4,3-3,1,10,"
11","
3",3,0,1,2,"
15","
+13
"
卡姆-雷迪什,F,32,2-8,1-1,0-0,1,2,"
3","
2",3,1,3,1,"
5","
0
"
约翰-科林斯,C,27,4-9,0-3,5-5,3,7,"
10","
0",4,1,2,2,"
13","
+15
"
凯文-赫尔特,G-F,27,8-12,4-5,1-1,0,2,"
2","
4",5,1,3,0,"
21","
+14"
布鲁诺-费尔南多,F-C,17,0-1,0-0,0-0,2,8,"
10","
3",1,0,2,0,"
0","
-1"
所罗门-希尔,F,13,2-5,1-2,1-1,1,1,"
2","
0",2,0,0,0,"
6","
+3"
布兰登-古德温,G,12,1-4,1-2,2-4,1,0,"
1","
0",0,0,0,0,"
5","
-2"
纳坦-奈特,F-C,9,4-5,2-3,4-5,1,2,"
3","
0",1,0,1,0,"
14","
-4"
克里斯-邓恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥涅卡-奥孔古,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达尼罗-加里纳利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯凯拉-梅斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉简-隆多,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克林特-卡佩拉,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
托尼-斯内尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
