公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
科比-怀特,G,36,8-19,4-9,0-0,0,7,"
7","
5",1,0,3,0,"
20","
-7"
扎克-拉文,G,35,11-23,4-12,7-9,0,7,"
7","
3",3,2,7,2,"
33","
-5"
劳里-马尔卡宁,F,29,7-13,4-7,5-7,0,7,"
7","
1",1,1,2,1,"
23","
+13"
帕特里克-威廉姆斯,F,26,2-5,0-1,2-2,1,3,"
4","
2",1,0,2,3,"
6","
+6"
温德尔-卡特,C,31,8-9,1-2,5-8,4,9,"
13","
4",3,0,3,0,"
22","
-4"
托马什-萨托兰斯基,G,23,1-3,0-1,1-1,0,1,"
1","
3",2,0,3,0,"
3","
-3"
奥托-波特,F,21,3-4,3-4,3-4,2,4,"
6","
3",2,0,3,0,"
12","
-2"
加莱特-坦普尔,G-F,19,1-5,0-3,0-0,0,1,"
1","
2",6,0,0,0,"
2","
-7"
钱德勒-哈奇森,F-G,19,3-5,1-2,0-0,0,8,"
8","
4",2,1,1,0,"
7","
+4"
德文-多特森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
里安-阿尔奇迪亚科诺,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
登泽尔-瓦伦丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼尔-加福德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当-莫科卡,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯蒂亚诺-费利西奥,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
赛迪斯-杨,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-科内特,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
斯蒂芬-库里,G,36,11-25,5-15,9-9,0,2,"
2","
6",1,2,4,2,"
36","
+3
"
凯利-乌布雷,G,30,3-16,0-6,2-2,3,8,"
11","
0",3,4,3,0,"
8","
+9
"
安德鲁-威金斯,F,36,6-15,2-3,5-6,2,7,"
9","
4",2,0,0,1,"
19","
+2
"
托斯卡诺-安德森,F,19,2-3,1-2,0-0,0,5,"
5","
1",1,1,1,0,"
5","
-2
"
詹姆斯-怀斯曼,C,23,3-8,1-1,0-0,0,3,"
3","
0",4,1,1,1,"
7","
-4
"
达米恩-李,G-F,21,4-7,4-5,0-0,1,1,"
2","
2",4,2,0,0,"
12","
+11"
埃里克-帕斯卡尔,F,19,4-8,1-2,6-7,1,1,"
2","
2",2,2,1,0,"
15","
-13"
凯文-卢尼,F,17,3-5,0-0,2-2,3,1,"
4","
4",2,0,0,0,"
8","
+12"
布拉德-沃纳梅克,G,14,1-4,0-2,0-0,0,1,"
1","
5",1,4,2,0,"
2","
-3"
乔丹-普尔,G,13,3-7,2-6,2-2,0,2,"
2","
1",2,0,0,0,"
10","
-10"
迈克尔-穆尔德,G,11,2-6,2-5,1-2,0,0,"
0","
0",1,1,0,0,"
7","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德雷蒙德-格林,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯特-贝兹莫尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼科-曼尼恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-斯马伊拉吉奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马基斯-克里斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
