快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢克-肯纳德,G,29,3-11,1-6,0-0,0,2,"
2","
1",2,1,2,0,"
7","
-29"
帕特里克-贝弗利,G,22,0-2,0-2,2-2,0,2,"
2","
0",4,0,1,0,"
2","
-23"
保罗-乔治,F,24,4-13,0-6,7-8,0,2,"
2","
4",1,0,4,0,"
15","
-22"
尼古拉斯-巴图姆,F,21,2-4,0-1,0-0,1,5,"
6","
1",2,0,1,0,"
4","
-17"
赛尔吉-伊巴卡,C,20,6-11,0-4,1-2,1,8,"
9","
1",2,0,0,1,"
13","
-14"
特伦斯-曼恩,G-F,24,2-8,0-2,0-0,0,3,"
3","
2",2,0,1,0,"
4","
-29"
雷吉-杰克逊,G,21,3-6,2-5,0-0,0,3,"
3","
1",0,0,2,0,"
8","
-21"
阿米尔-科菲,G-F,18,0-5,0-2,1-2,1,0,"
1","
2",1,0,0,0,"
1","
-8"
伊维察-祖巴茨,C,16,3-4,0-0,4-4,1,1,"
2","
0",1,0,0,0,"
10","
-33"
菲翁杜-卡本盖莱,F-C,15,1-3,1-3,2-2,0,2,"
2","
0",2,1,0,0,"
5","
-5"
丹尼尔-奥图鲁,C,12,2-4,0-1,0-0,0,2,"
2","
0",2,0,1,1,"
4","
-4"
路易斯-威廉姆斯,G,9,0-4,0-0,0-0,1,0,"
1","
1",0,0,0,0,"
0","
-24"
帕特里克-帕特森,F,9,0-1,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-26"
杰伊-斯库布,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马库斯-莫里斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科怀-伦纳德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
约什-理查德森,G,27,8-13,4-8,1-1,2,1,"
3","
2",3,1,0,0,"
21","
+22
"
卢卡-东契奇,G,26,8-18,0-5,8-9,0,9,"
9","
8",0,1,2,0,"
24","
+29
"
小蒂姆-哈达威,F,23,7-14,4-8,0-0,0,5,"
5","
2",2,2,0,0,"
18","
+27
"
多里安-芬尼-史密斯,F,18,2-4,2-4,2-2,0,1,"
1","
1",1,0,0,0,"
8","
+25
"
德怀特-鲍威尔,C,18,1-1,0-0,2-2,1,3,"
4","
0",2,1,1,0,"
4","
+12
"
詹姆斯-约翰逊,F,20,1-6,1-3,2-2,2,6,"
8","
3",2,2,0,0,"
5","
+25"
威利-考利-斯坦,C,18,3-5,0-1,3-3,4,2,"
6","
2",0,0,0,1,"
9","
+31"
特雷-伯克,G,17,2-3,1-2,0-0,0,2,"
2","
1",0,1,1,0,"
5","
+28"
马克西-克勒贝尔,F,17,1-2,1-2,2-2,0,5,"
5","
1",2,0,0,1,"
5","
+26"
杰伦-布伦森,G,13,4-6,1-3,2-2,0,2,"
2","
3",0,0,0,0,"
11","
+20"
韦斯利-艾旺杜,F,12,3-6,0-2,0-0,0,1,"
1","
0",1,1,0,0,"
6","
+2"
约什-格林,G,12,1-3,0-0,2-2,0,2,"
2","
2",0,0,1,0,"
4","
+2"
博班-马里亚诺维奇,C,10,2-4,0-2,0-2,2,3,"
5","
0",0,0,1,0,"
4","
+4"
泰雷尔-特里,G,9,0-2,0-1,0-0,0,1,"
1","
0",1,1,0,0,"
0","
+2"
克里斯塔普斯-波尔津吉斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
内特-辛顿,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-贝,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
