掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾马尔-默里,G,31,7-14,4-6,3-7,2,3,"
5","
2",0,0,2,1,"
21","
+15"
加里-哈里斯,G,29,6-10,2-6,0-1,1,2,"
3","
2",1,3,1,0,"
14","
+13"
保罗-米尔萨普,F,25,7-8,3-4,2-3,0,3,"
3","
1",1,0,3,0,"
19","
+1"
小迈克尔-波特,F,24,5-11,2-6,2-3,0,9,"
9","
2",2,0,0,1,"
14","
+2"
尼古拉-约基奇,C,34,8-11,1-1,2-3,4,8,"
12","
18",2,3,3,1,"
19","
+20"
蒙特-莫里斯,G,24,5-7,1-3,1-3,0,4,"
4","
5",2,0,0,1,"
12","
+14"
威尔-巴顿,G,23,5-12,1-4,0-0,0,4,"
4","
0",0,0,1,1,"
11","
+25"
PJ-多齐尔,G-F,20,1-5,0-0,1-2,2,3,"
5","
1",1,1,1,1,"
3","
+24"
以赛亚-哈尔滕施泰因,C-F,10,1-3,0-0,3-6,2,2,"
4","
0",4,1,1,0,"
5","
+5"
法昆多-坎帕佐,G,5,0-1,0-0,4-4,0,1,"
1","
0",2,0,1,0,"
4","
-10"
波尔-波尔,C-F,5,0-2,0-0,0-0,0,1,"
1","
0",1,0,0,1,"
0","
-10"
RJ-汉普顿,G,4,1-1,0-0,0-0,0,1,"
1","
0",1,0,0,0,"
2","
-10"
齐克-纳吉,F-C,4,0-1,0-1,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-12"
弗拉特科-钱查尔,F,4,0-1,0-0,0-0,0,0,"
0","
0",0,0,1,0,"
0","
-12"
马库斯-霍华德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
格雷格-惠廷顿,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰迈克尔-格林,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
大卫-努瓦巴,G,32,5-11,1-3,3-5,1,4,"
5","
1",2,2,1,0,"
14","
+12
"
詹姆斯-哈登,G,31,10-16,5-9,9-9,0,6,"
6","
8",2,1,5,0,"
34","
-12
"
丹纽尔-豪斯,F,29,1-9,0-5,1-2,0,4,"
4","
6",5,0,0,0,"
3","
-9
"
PJ-塔克,F,27,3-4,3-4,0-0,0,3,"
3","
4",2,2,0,0,"
9","
-9
"
克里斯蒂安-伍德,C,37,9-20,4-5,1-2,0,3,"
3","
1",1,2,0,2,"
23","
-2
"
斯特林-布朗,G-F,31,5-8,2-5,0-0,1,3,"
4","
2",3,1,0,0,"
12","
-18"
宰希恩-泰特,F,25,2-6,1-3,0-0,2,5,"
7","
2",5,0,3,1,"
5","
-15"
布鲁诺-卡博克洛,F,20,3-9,0-3,0-0,1,5,"
6","
0",3,0,4,0,"
6","
-12"
布罗德里克-托马斯,G,8,1-3,0-2,3-5,0,0,"
0","
1",2,0,2,0,"
5","
0"
德马库斯-考辛斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
梅森-琼斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-克莱蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小肯扬-马丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
本-麦克勒摩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-戈登,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
