雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢伊-吉尔杰斯-亚历山大,G,36,9-21,1-7,4-4,0,3,"
3","
7",3,1,4,1,"
23","
+4"
乔治-希尔,G,25,5-13,0-4,4-5,3,2,"
5","
4",0,2,1,0,"
14","
+6"
达里厄斯-贝兹利,F,33,3-8,2-4,1-2,0,11,"
11","
0",1,0,3,1,"
9","
-5"
吕冈茨-多尔特,F,32,9-11,5-7,3-4,1,1,"
2","
1",4,2,2,0,"
26","
+3"
艾尔-霍福德,C,29,4-10,3-7,0-0,0,5,"
5","
4",1,1,1,0,"
11","
+7"
哈米杜-迪亚洛,G,20,3-7,0-0,1-2,1,5,"
6","
1",2,1,0,1,"
7","
-3"
泰奥-马勒东,G,20,2-2,1-1,1-2,0,0,"
0","
2",1,1,3,0,"
6","
-8"
迈克-穆斯卡拉,F-C,19,3-9,3-7,0-0,1,1,"
2","
1",1,0,1,1,"
9","
-8"
阿列克谢-波库舍夫斯基,C,14,0-2,0-1,0-0,0,2,"
2","
0",1,1,0,1,"
0","
+3"
肯里奇-威廉姆斯,G-F,11,2-3,0-0,0-0,1,0,"
1","
1",2,0,0,0,"
4","
-4"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷沃-阿里扎,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰-杰罗姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-哈尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-杰克逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里厄斯-米勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
爵士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
多诺万-米切尔,G,35,8-23,2-10,2-4,0,2,"
2","
5",3,1,3,0,"
20","
-4
"
迈克-康利,G,32,8-15,2-6,2-2,3,7,"
10","
9",3,1,2,1,"
20","
+1
"
博扬-波格丹诺维奇,F,35,8-17,5-9,2-2,0,3,"
3","
1",0,2,1,0,"
23","
-3
"
罗伊斯-奥尼尔,F,34,3-3,2-2,1-2,2,4,"
6","
0",4,1,2,1,"
9","
+1
"
鲁迪-戈贝尔,C,37,6-8,0-0,0-0,0,10,"
10","
4",1,1,1,4,"
12","
+5
"
乔丹-克拉克森,G,26,5-10,2-5,4-4,2,2,"
4","
2",1,1,3,0,"
16","
+5"
乔-英格尔斯,F-G,20,2-4,0-2,0-0,0,4,"
4","
3",3,1,3,0,"
4","
0"
德里克-费沃斯,F,11,3-4,0-0,0-0,1,2,"
3","
0",3,1,1,0,"
6","
-4"
乔治-尼昂,F,8,0-2,0-2,0-0,0,1,"
1","
0",1,0,0,0,"
0","
-1"
米耶-奥尼,G-F,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+5"
沙奎尔-哈里森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乌多卡-阿祖布伊克,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊莱贾-休斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
朱万-摩根,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦特-弗雷斯特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾雷尔-布兰特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
