太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,26,3-9,2-7,0-0,0,6,"
6","
3",3,2,2,0,"
8","
+24"
克里斯-保罗,G,23,2-4,1-2,4-4,1,1,"
2","
9",1,0,2,0,"
9","
+19"
米卡尔-布里奇斯,F,30,4-7,1-2,4-4,2,5,"
7","
0",1,2,0,0,"
13","
+31"
杰-克劳德,F,21,6-11,5-8,4-4,1,1,"
2","
1",3,1,0,0,"
21","
+15"
德安德烈-艾顿,C,26,6-11,0-0,1-1,5,7,"
12","
0",1,0,0,1,"
13","
+16"
卡梅伦-佩恩,G,23,5-9,3-6,0-0,0,2,"
2","
7",3,0,0,0,"
13","
+16"
卡梅伦-约翰逊,F,22,6-13,4-10,2-2,0,2,"
2","
0",2,1,0,2,"
18","
+23"
杰文-卡特,G,19,0-5,0-3,0-0,0,1,"
1","
1",1,0,0,0,"
0","
-3"
达里奥-沙里奇,F-C,14,3-4,2-3,2-2,0,4,"
4","
1",1,1,3,0,"
10","
+21"
兰斯顿-加洛韦,G,12,1-4,1-4,0-0,0,0,"
0","
1",0,0,0,0,"
3","
+7"
弗兰克-卡明斯基,F-C,7,1-4,0-0,1-2,1,1,"
2","
0",0,0,0,0,"
3","
-12"
伊托万-摩尔,G,6,0-1,0-1,0-0,0,0,"
0","
0",1,0,2,0,"
0","
-13"
达米安-琼斯,C,6,0-0,0-0,0-0,2,0,"
2","
0",0,0,1,1,"
0","
-13"
泰肖恩-亚历山大,G,4,0-2,0-1,0-0,0,1,"
1","
1",1,0,0,0,"
0","
-6"
阿卜杜勒-纳迪尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-史密斯 ,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
鹈鹕
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃里克-布莱索,G,24,3-5,0-2,1-1,0,0,"
0","
2",0,1,0,0,"
7","
-18
"
朗佐-鲍尔,G,23,3-12,1-7,0-0,0,0,"
0","
1",2,0,3,0,"
7","
-22
"
蔡恩-威廉森,F,29,9-13,0-0,2-6,1,1,"
2","
0",1,1,1,0,"
20","
-27
"
布兰登-英格拉姆,F,28,6-11,1-5,0-0,0,6,"
6","
6",0,1,4,0,"
13","
-25
"
史蒂文-亚当斯,C,23,5-5,0-0,1-2,3,5,"
8","
1",1,0,4,1,"
11","
-15
"
约什-哈特,G,22,1-2,0-1,1-2,0,6,"
6","
0",1,0,0,0,"
3","
-20"
尼基尔-亚历山大-沃克,G,22,4-10,0-1,3-3,0,0,"
0","
4",4,1,1,0,"
11","
-9"
JJ-雷迪克,G,18,1-5,0-2,0-0,0,1,"
1","
0",3,1,1,0,"
2","
-11"
尼科洛-梅利,F,16,2-4,1-3,0-0,1,7,"
8","
1",2,0,2,0,"
5","
+2"
贾克森-海斯,C-F,12,0-0,0-0,0-0,2,4,"
6","
1",0,1,0,2,"
0","
-14"
小凯拉-刘易斯,G,10,2-7,0-2,0-0,0,0,"
0","
1",0,1,0,0,"
4","
+10"
辛达里厄斯-桑韦尔,G,7,1-2,0-1,0-0,0,0,"
0","
0",0,1,0,0,"
2","
+12"
吉列尔莫-埃尔南戈麦斯,C-F,7,0-1,0-0,1-4,0,4,"
4","
1",0,0,0,0,"
1","
+12"
威尔-马格奈,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳吉-马绍尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦尼恩-加布里埃尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
