雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢伊-吉尔杰斯-亚历山大,G,33,8-10,3-3,4-5,0,7,"
7","
7",1,0,5,0,"
23","
-8"
吕冈茨-多尔特,G,29,6-14,3-8,0-2,1,3,"
4","
0",2,0,0,0,"
15","
-13"
贾斯廷-杰克逊,F,29,3-6,0-3,2-2,0,2,"
2","
3",0,0,4,0,"
8","
-10"
达里厄斯-贝兹利,F,29,3-14,0-4,0-0,2,4,"
6","
2",0,0,1,2,"
6","
-9"
以赛亚-罗比,C,28,9-12,1-2,0-3,4,3,"
7","
0",4,1,1,2,"
19","
-13"
哈米杜-迪亚洛,G,22,6-9,0-0,1-2,2,6,"
8","
0",3,2,4,1,"
13","
-1"
泰奥-马勒东,G,20,2-6,1-5,2-4,0,1,"
1","
3",2,0,2,0,"
7","
-5"
迈克-穆斯卡拉,F-C,20,5-6,3-4,1-1,0,5,"
5","
2",3,0,1,0,"
14","
+2"
阿列克谢-波库舍夫斯基,C,19,1-8,0-4,0-0,1,5,"
6","
3",2,0,1,2,"
2","
-2"
肯里奇-威廉姆斯,G-F,10,0-1,0-1,0-0,0,1,"
1","
0",1,0,1,0,"
0","
+5"
约什-哈尔,F,1,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-1"
艾尔-霍福德,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷沃-阿里扎,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰-杰罗姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔治-希尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里厄斯-米勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃文-富尼耶,G,32,5-11,2-6,2-2,0,1,"
1","
2",4,2,4,0,"
14","
+12
"
马克尔-富尔茨,G,32,4-16,1-2,2-2,3,1,"
4","
10",3,1,0,0,"
11","
+9
"
德维恩-培根,F,23,9-10,0-0,0-0,1,7,"
8","
0",2,0,0,0,"
18","
+13
"
阿龙-戈登,F,22,5-10,0-3,2-2,0,5,"
5","
2",2,1,3,1,"
12","
+1
"
尼古拉-武切维奇,C,34,12-18,3-4,1-1,3,7,"
10","
5",0,1,1,0,"
28","
+11
"
特伦斯-罗斯,G-F,25,7-13,0-4,0-1,0,1,"
1","
1",1,1,0,0,"
14","
-2"
迈克尔-卡特-威廉姆斯,G,24,2-6,0-0,0-0,2,6,"
8","
2",5,1,1,0,"
4","
+1"
丘马-奥基基,F,18,1-3,0-1,1-2,1,2,"
3","
1",0,2,0,1,"
3","
+8"
科尔-安东尼,G,16,1-5,1-2,4-4,1,3,"
4","
3",2,1,0,0,"
7","
+2"
肯-伯奇,C,14,3-4,0-0,1-2,1,1,"
2","
0",4,2,2,0,"
7","
0"
艾尔-法鲁克-阿米奴,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-博恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
穆罕默德-班巴,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
詹姆斯-恩尼斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里-克拉克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡里姆-马内,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-艾萨克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
