快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
保罗-乔治,G,28,8-15,4-9,3-4,0,10,"
10","
7",1,2,3,0,"
23","
+25"
帕特里克-贝弗利,G,21,3-6,1-2,0-0,2,2,"
4","
0",4,2,0,0,"
7","
+23"
科怀-伦纳德,F,30,9-17,3-5,7-8,1,2,"
3","
7",4,3,0,1,"
28","
+23"
尼古拉斯-巴图姆,F,26,4-6,2-2,1-2,2,3,"
5","
3",1,1,0,0,"
11","
+26"
赛尔吉-伊巴卡,C,23,4-11,3-5,0-0,2,6,"
8","
3",3,1,1,1,"
11","
+20"
雷吉-杰克逊,G,22,4-6,2-4,1-3,0,1,"
1","
2",3,0,0,0,"
11","
-1"
路易斯-威廉姆斯,G,21,7-13,1-4,0-0,0,5,"
5","
2",0,1,1,0,"
15","
+10"
卢克-肯纳德,G,19,2-5,1-1,0-0,0,0,"
0","
1",1,0,2,0,"
5","
-4"
伊维察-祖巴茨,C,15,2-2,0-0,3-4,2,0,"
2","
2",3,2,2,3,"
7","
+7"
帕特里克-帕特森,F,11,1-5,0-3,0-0,0,3,"
3","
0",1,0,1,0,"
2","
-6"
特伦斯-曼恩,G-F,8,0-1,0-0,0-0,2,2,"
4","
0",1,0,0,0,"
0","
-6"
菲翁杜-卡本盖莱,F-C,7,0-2,0-1,0-0,0,0,"
0","
2",2,1,0,1,"
0","
-4"
阿米尔-科菲,G-F,5,2-4,1-2,1-1,0,0,"
0","
0",1,0,0,0,"
6","
+2"
丹尼尔-奥图鲁,C,3,1-2,0-0,0-0,0,2,"
2","
1",0,0,0,0,"
2","
0"
马库斯-莫里斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伊-斯库布,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米安-利拉德,G,29,3-14,0-8,14-15,1,4,"
5","
4",1,1,4,0,"
20","
-20
"
CJ-麦科勒姆,G,28,8-17,7-11,2-2,0,4,"
4","
3",0,1,1,0,"
25","
-12
"
小德里克-琼斯,F,35,2-6,1-3,1-2,0,3,"
3","
0",0,1,0,0,"
6","
-14
"
罗伯特-科温顿,F,25,3-4,2-3,0-0,0,3,"
3","
1",5,1,2,1,"
8","
-22
"
优素福-努尔基奇,C,23,2-4,0-0,0-0,0,4,"
4","
1",3,0,4,2,"
4","
-21
"
埃内斯-坎特,C,25,4-9,0-0,2-2,4,6,"
10","
0",2,0,1,0,"
10","
-2"
卡梅罗-安东尼,F,25,3-5,0-2,9-10,0,5,"
5","
2",2,0,1,0,"
15","
-18"
罗德尼-胡德,F-G,15,1-3,1-2,0-0,0,2,"
2","
1",0,0,2,0,"
3","
-10"
安芬尼-西蒙斯,G,10,1-4,1-4,0-0,0,0,"
0","
0",2,0,0,0,"
3","
-14"
凯尔金-布莱文斯,G,8,1-3,0-2,0-0,0,0,"
0","
2",1,1,1,0,"
2","
+6"
CJ-艾勒比,F-G,8,1-3,0-2,0-1,0,0,"
0","
0",1,0,0,0,"
2","
+6"
哈里-贾尔斯,F-C,8,3-4,0-1,1-2,0,5,"
5","
0",0,0,1,1,"
7","
+6"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小加里-特伦特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳西尔-利特尔,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
