独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
约什-理查德森,G,27,1-10,0-4,2-2,1,1,"
2","
2",2,0,1,1,"
4","
-23"
卢卡-东契奇,G,24,4-10,0-5,4-7,0,2,"
2","
5",3,2,3,0,"
12","
-27"
小蒂姆-哈达威,F,28,7-10,3-6,1-1,0,2,"
2","
1",0,1,1,0,"
18","
-27"
多里安-芬尼-史密斯,F,24,2-8,1-6,0-0,4,2,"
6","
0",2,1,1,1,"
5","
-22"
德怀特-鲍威尔,C,24,2-6,0-1,5-7,3,1,"
4","
2",3,1,2,1,"
9","
-21"
马克西-克勒贝尔,F,21,4-5,4-5,0-0,1,5,"
6","
1",1,0,2,2,"
12","
-9"
杰伦-布伦森,G,20,5-13,2-5,4-6,0,4,"
4","
4",0,1,1,0,"
16","
+4"
特雷-伯克,G,20,1-9,1-6,0-0,0,1,"
1","
4",0,2,1,0,"
3","
0"
詹姆斯-约翰逊,F,19,3-8,0-2,1-3,2,4,"
6","
4",1,2,0,1,"
7","
+10"
约什-格林,G,13,0-0,0-0,0-0,1,1,"
2","
0",0,0,1,0,"
0","
+10"
威利-考利-斯坦,C,9,2-2,0-0,1-4,1,2,"
3","
0",4,0,1,0,"
5","
-2"
博班-马里亚诺维奇,C,4,1-2,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
2","
+4"
泰雷尔-特里,G,4,0-1,0-1,0-1,0,0,"
0","
1",0,0,0,0,"
0","
+4"
韦斯利-艾旺杜,F,4,2-3,1-1,1-2,0,0,"
0","
0",0,0,0,0,"
6","
+4"
克里斯塔普斯-波尔津吉斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
内特-辛顿,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-贝,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特里-罗齐尔,G,30,8-17,2-7,0-0,1,4,"
5","
3",4,0,3,1,"
18","
+11
"
德文特-格雷厄姆,G,29,3-8,2-5,1-1,0,0,"
0","
5",2,2,1,0,"
9","
+20
"
戈登-海沃德,F,31,4-16,1-6,2-2,1,6,"
7","
3",4,1,3,0,"
11","
+8
"
PJ-华盛顿,F,18,4-6,1-2,2-2,1,1,"
2","
3",5,0,2,0,"
11","
+23
"
俾斯麦-比永博,C,30,3-6,0-0,3-5,4,2,"
6","
4",5,0,2,1,"
9","
+8
"
迈尔斯-布里奇斯,F,30,6-9,4-6,4-4,0,16,"
16","
2",1,0,5,2,"
20","
+18"
拉梅洛-鲍尔,G,29,7-10,4-5,4-4,4,4,"
8","
5",3,1,2,1,"
22","
+8"
杰伦-麦克丹尼尔斯,F-C,16,4-5,1-2,1-1,0,1,"
1","
0",2,0,4,0,"
10","
-9"
凯莱布-马丁,F,14,2-3,0-0,0-2,1,3,"
4","
4",1,1,0,0,"
4","
+15"
科迪-马丁,F,8,2-2,0-0,0-0,0,0,"
0","
0",1,1,1,0,"
4","
0"
小弗农-凯里,F-C,4,0-2,0-1,0-0,0,1,"
1","
1",0,0,0,1,"
0","
-4"
尼克-理查兹,C,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-3"
马利克-蒙克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
内特-达林,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科迪-泽勒,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
格兰特-里勒,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
