森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
丹吉洛-拉塞尔,G,26,6-16,2-7,0-2,1,3,"
4","
3",0,1,5,0,"
14","
-32"
里基-卢比奥,G,25,1-4,1-2,0-0,1,1,"
2","
5",2,2,3,0,"
3","
-22"
马利克-比斯利,F,26,8-13,3-6,2-2,0,3,"
3","
0",4,0,1,0,"
21","
-17"
贾勒特-卡尔弗,F,21,2-4,0-1,0-0,1,1,"
2","
0",5,0,2,0,"
4","
-8"
纳兹-里德,C,24,7-10,1-3,2-3,1,5,"
6","
1",4,1,2,2,"
17","
+4"
安东尼-爱德华兹,G,26,7-16,2-8,1-4,0,3,"
3","
2",2,0,3,1,"
17","
-7"
乔丹-麦克劳克林,G,24,4-7,2-3,0-0,1,3,"
4","
0",0,1,0,0,"
10","
-4"
埃德-戴维斯,C-F,16,0-4,0-0,0-0,4,6,"
10","
3",1,0,0,0,"
0","
-20"
杰克-莱曼,F,15,2-6,1-3,7-9,0,1,"
1","
1",3,3,1,0,"
12","
-1"
胡安-埃尔南戈麦斯,F,14,2-3,1-2,0-0,0,3,"
3","
0",0,0,0,0,"
5","
-20"
贾里德-范德比尔特,F,12,3-3,0-0,0-1,2,2,"
4","
1",1,1,3,0,"
6","
+8"
杰登-麦克丹尼尔斯,F,9,0-2,0-1,0-0,0,1,"
1","
1",0,0,0,0,"
0","
+14"
卡尔-安东尼-唐斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿什顿-哈根斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-诺埃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-奥科吉,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布拉德利-比尔,G,28,12-20,3-5,4-5,0,3,"
3","
7",1,1,2,0,"
31","
+23
"
劳尔-内托,G,22,5-7,2-2,0-0,0,0,"
0","
2",0,2,1,0,"
12","
+16
"
德尼-阿夫迪亚,F,27,4-7,3-5,0-0,0,7,"
7","
3",3,3,1,0,"
11","
+32
"
八村垒,F,19,3-8,0-0,5-6,1,3,"
4","
2",3,0,1,0,"
11","
+11
"
托马斯-布莱恩特,C,22,7-7,1-1,3-4,2,5,"
7","
2",1,0,2,0,"
18","
+25
"
杰罗姆-罗宾逊,G,22,4-8,2-3,3-3,0,2,"
2","
3",1,1,0,0,"
13","
-5"
伊斯梅尔-史密斯,G,21,2-6,1-1,0-0,1,5,"
6","
9",0,0,2,0,"
5","
+18"
罗宾-洛佩斯,C,20,5-9,0-2,1-1,2,4,"
6","
2",5,0,1,3,"
11","
+9"
戴维斯-贝尔坦斯,F,20,4-8,3-7,0-0,1,1,"
2","
1",1,0,1,0,"
11","
+24"
特洛伊-布朗,G-F,14,2-3,0-1,0-2,0,3,"
3","
1",1,1,0,0,"
4","
+5"
加里森-马修斯,G,9,1-4,1-4,0-0,0,1,"
1","
2",0,0,0,0,"
3","
-14"
安热伊斯-帕塞奇尼克斯,C-F,6,0-1,0-1,0-0,1,0,"
1","
1",2,0,5,0,"
0","
-13"
安东尼-吉尔,F,5,0-0,0-0,0-0,0,0,"
0","
0",0,1,0,0,"
0","
-13"
伊萨克-邦加,G,5,0-1,0-1,0-0,0,1,"
1","
0",1,0,0,0,"
0","
-13"
拉塞尔-威斯布鲁克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡修斯-温斯顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
莫里茨-瓦格纳,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
