爵士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
多诺万-米切尔,G,35,6-14,3-10,0-1,1,3,"
4","
5",1,0,5,0,"
15","
-8"
迈克-康利,G,34,11-20,7-14,4-4,1,1,"
2","
7",0,1,2,0,"
33","
+24"
罗伊斯-奥尼尔,F,34,2-7,2-6,0-0,1,3,"
4","
2",3,0,1,0,"
6","
+5"
博扬-波格丹诺维奇,F,33,3-12,0-4,0-0,1,2,"
3","
1",5,0,0,0,"
6","
-13"
鲁迪-戈贝尔,C,24,5-10,0-0,2-4,2,7,"
9","
1",4,1,0,1,"
12","
0"
乔-英格尔斯,F-G,33,5-7,1-3,0-0,1,7,"
8","
7",2,0,1,0,"
11","
+5"
德里克-费沃斯,F,24,6-12,0-0,2-4,4,7,"
11","
2",4,0,1,1,"
14","
+6"
乔丹-克拉克森,G,21,3-7,2-5,1-1,2,3,"
5","
2",1,1,3,1,"
9","
+5"
乔治-尼昂,F,2,0-0,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
+6"
沙奎尔-哈里森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乌多卡-阿祖布伊克,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊莱贾-休斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
朱万-摩根,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦特-弗雷斯特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
米耶-奥尼,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾雷尔-布兰特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
保罗-乔治,G,38,6-22,5-13,8-8,2,6,"
8","
4",1,6,5,1,"
25","
-12
"
帕特里克-贝弗利,G,28,2-7,2-5,0-0,1,0,"
1","
0",3,0,0,2,"
6","
+21
"
科怀-伦纳德,F,39,8-19,2-4,2-4,4,12,"
16","
9",2,0,0,3,"
20","
+8
"
尼古拉斯-巴图姆,F,35,1-4,1-2,6-6,2,5,"
7","
0",5,0,0,0,"
9","
0
"
赛尔吉-伊巴卡,C,34,5-12,1-6,2-2,1,3,"
4","
1",0,0,1,2,"
13","
+2
"
路易斯-威廉姆斯,G,25,3-8,0-0,1-2,0,0,"
0","
5",1,0,0,0,"
7","
-12"
卢克-肯纳德,G,18,2-3,2-2,0-0,0,2,"
2","
0",1,0,0,0,"
6","
-17"
伊维察-祖巴茨,C,14,5-8,0-0,2-2,1,1,"
2","
0",1,0,0,0,"
12","
-8"
特伦斯-曼恩,G-F,7,1-1,0-0,0-0,1,2,"
3","
0",2,0,1,0,"
2","
0"
雷吉-杰克逊,G,3,0-1,0-1,0-0,0,0,"
0","
0",0,0,1,0,"
0","
-12"
阿米尔-科菲,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
菲翁杜-卡本盖莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-帕特森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马库斯-莫里斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼尔-奥图鲁,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伊-斯库布,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
