火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
约翰-沃尔,G,37,11-21,2-8,4-6,1,3,"
4","
6",0,3,5,2,"
28","
-4"
埃里克-戈登,G,33,7-18,3-12,4-4,0,3,"
3","
4",2,2,3,1,"
21","
+11"
丹纽尔-豪斯,F,36,1-4,1-4,2-2,1,5,"
6","
1",2,0,0,1,"
5","
+14"
PJ-塔克,F,33,2-3,1-2,0-0,0,4,"
4","
1",4,0,3,0,"
5","
-1"
克里斯蒂安-伍德,C,33,7-14,2-7,4-7,3,12,"
15","
1",5,1,1,4,"
20","
+2"
斯特林-布朗,G-F,26,4-6,3-5,0-0,0,6,"
6","
1",2,1,0,0,"
11","
+8"
杰肖恩-泰特,F,20,1-3,0-1,3-4,1,1,"
2","
1",1,2,0,0,"
5","
+7"
德马库斯-考辛斯,C,11,1-6,0-0,0-0,0,6,"
6","
0",3,0,1,2,"
2","
-2"
大卫-努瓦巴,G-F,10,2-5,1-2,0-0,0,2,"
2","
0",3,1,0,0,"
5","
+5"
詹姆斯-哈登,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
梅森-琼斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁诺-卡博克洛,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布罗德里克-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小肯扬-马丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
本-麦克勒摩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-克莱蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
巴迪-希尔德,G,38,6-17,5-12,0-0,0,4,"
4","
2",3,1,3,0,"
17","
-3
"
达龙-福克斯,G,36,8-19,0-3,7-10,0,2,"
2","
4",4,2,3,1,"
23","
-9
"
哈里森-巴恩斯,F,38,7-13,2-4,3-5,0,7,"
7","
0",1,1,0,0,"
19","
-9
"
马文-巴格利,F,25,5-13,1-1,1-2,4,5,"
9","
2",4,0,2,0,"
12","
-7
"
里乔恩-霍姆斯,C,33,4-8,0-0,3-3,3,6,"
9","
0",3,0,0,2,"
11","
+5
"
科里-约瑟夫,G,28,3-8,0-2,0-0,2,4,"
6","
0",4,1,3,0,"
6","
-2"
格伦-罗宾逊三世,F,21,2-7,1-3,0-0,3,0,"
3","
2",0,0,0,0,"
5","
-15"
内马尼亚-别利察,F,15,0-2,0-2,1-1,2,5,"
7","
1",2,0,3,1,"
1","
-5"
凯尔-盖伊,G,6,0-3,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+5"
热迈厄斯-拉姆塞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-詹姆斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰雷斯-哈利伯顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈桑-怀特塞德,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达匡-杰弗里斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-伍达德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾巴里-帕克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
