老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特雷-杨,G,34,6-16,2-5,2-4,1,3,"
4","
10",2,1,6,0,"
16","
+3"
卡姆-雷迪什,G,24,1-4,0-1,0-0,1,1,"
2","
1",3,1,2,0,"
2","
+3"
约翰-科林斯,F,34,3-10,1-5,3-4,0,4,"
4","
5",3,0,2,1,"
10","
+7"
德安德烈-亨特,F,31,5-11,2-4,5-6,1,4,"
5","
2",1,2,3,1,"
17","
+5"
克林特-卡佩拉,C,31,8-12,0-0,0-5,8,8,"
16","
0",4,3,3,2,"
16","
+3"
凯文-赫尔特,G-F,28,5-11,3-5,0-0,3,7,"
10","
1",2,1,3,1,"
13","
-9"
波格丹-波格丹诺维奇,G,23,4-12,3-9,0-0,0,2,"
2","
2",0,1,1,0,"
11","
-8"
布兰登-古德温,G,14,3-4,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
6","
-8"
所罗门-希尔,F,11,0-2,0-2,0-0,0,1,"
1","
0",4,0,0,0,"
0","
-15"
布鲁诺-费尔南多,F-C,10,0-3,0-1,0-0,1,3,"
4","
0",1,0,0,0,"
0","
-6"
纳坦-奈特,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥涅卡-奥孔古,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-邓恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯凯拉-梅斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉简-隆多,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达尼罗-加里纳利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
托尼-斯内尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
科林-塞克斯顿,G,36,10-18,2-5,5-5,1,1,"
2","
3",3,3,0,0,"
27","
0
"
达里厄斯-加兰,G,34,3-14,0-3,2-3,0,2,"
2","
2",4,1,5,1,"
8","
+7
"
小拉里-南斯,F,37,3-10,1-4,2-2,4,7,"
11","
6",1,3,1,0,"
9","
+8
"
丹特-埃克萨姆,F,35,3-8,0-3,0-0,1,4,"
5","
1",3,1,2,0,"
6","
+3
"
安德烈-德拉蒙德,C,20,6-10,0-0,0-0,4,7,"
11","
0",2,0,4,0,"
12","
-8
"
切迪-奥斯曼,F,26,4-12,3-9,0-0,0,4,"
4","
2",1,0,0,0,"
11","
+5"
贾维尔-麦基,C-F,25,6-11,0-0,2-5,5,4,"
9","
4",4,2,2,1,"
14","
+13"
丹伊恩-多特森,G,13,3-6,1-3,0-0,0,1,"
1","
0",1,0,0,0,"
7","
+2"
迪恩-韦德,F-C,9,0-2,0-2,0-0,0,1,"
1","
0",1,0,0,0,"
0","
+2"
索恩-梅克,F-C,5,0-0,0-0,2-2,0,0,"
0","
1",1,0,1,0,"
2","
-7"
拉马尔-史蒂文斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
艾萨克-奥科罗,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小凯文-波特,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪伦-温德勒,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-乐福,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克斯-博尔登,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马修-戴拉维多瓦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
