灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
泰厄斯-琼斯,G,32,6-11,2-5,0-0,0,5,"
5","
3",1,1,0,0,"
14","
-18"
狄龙-布鲁克斯,G,29,3-15,1-6,2-2,2,3,"
5","
5",3,0,2,1,"
9","
-13"
凯尔-安德森,F,32,7-19,1-8,3-3,2,2,"
4","
2",1,0,3,0,"
18","
-17"
布兰登-克拉克,F,29,4-10,0-2,0-0,3,4,"
7","
0",0,0,1,1,"
8","
-15"
约纳斯-瓦兰丘纳斯,C,26,7-14,0-1,0-0,3,7,"
10","
1",5,1,2,0,"
14","
-19"
德斯蒙德-贝恩,G,21,5-8,3-4,0-1,0,1,"
1","
2",2,1,1,0,"
13","
+4"
戈尔吉-吉昂,C,21,2-6,1-2,0-0,1,6,"
7","
4",2,0,1,0,"
5","
+3"
泽维尔-蒂尔曼,F,17,3-3,0-0,0-0,1,5,"
6","
0",1,0,0,0,"
6","
+1"
约翰-康查尔,G,17,1-3,0-1,2-2,2,3,"
5","
4",1,2,0,1,"
4","
-3"
格雷森-阿伦,G,15,1-6,1-4,0-0,0,0,"
0","
2",2,1,1,0,"
3","
+5"
肖恩-麦克德莫特,F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2"
贾-莫兰特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹东尼-梅尔顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小贾伦-杰克逊,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
基利安-蒂利,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
琼泰-波特,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
丹尼斯-施罗德,G,32,4-13,0-4,3-4,0,1,"
1","
5",1,0,0,0,"
11","
+3
"
凯尔-库兹马,G,30,4-9,3-7,0-0,0,3,"
3","
1",4,0,3,2,"
11","
+7
"
安东尼-戴维斯,F,32,6-15,0-2,5-6,2,7,"
9","
1",0,3,3,3,"
17","
+5
"
勒布朗-詹姆斯,F,32,9-16,3-6,1-3,0,13,"
13","
8",2,1,2,0,"
22","
+19
"
马克-加索尔,C,24,2-6,0-3,3-4,3,3,"
6","
4",2,1,0,0,"
7","
+3
"
韦斯利-马修斯,G,27,5-7,4-6,0-0,1,0,"
1","
1",3,2,0,0,"
14","
+3"
塔伦-霍顿-塔克,G,24,3-9,1-4,0-0,2,4,"
6","
2",1,0,1,0,"
7","
+11"
蒙特雷兹-哈雷尔,F-C,21,7-11,0-0,2-2,4,5,"
9","
0",2,2,1,0,"
16","
+12"
马基夫-莫里斯,F,14,0-2,0-2,0-0,0,1,"
1","
1",0,0,0,0,"
0","
+10"
贾里德-杜德利,F,1,0-0,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
-1"
阿方索-麦金尼,F,1,1-1,1-1,0-0,0,0,"
0","
0",0,0,0,0,"
3","
-1"
奎因-库克,G,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-1"
德文泰-卡考克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚历克斯-卡鲁索,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯塔维厄斯-考德威尔-波普,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
