76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
本-西蒙斯,G,35,6-13,0-0,0-0,1,9,"
10","
6",2,0,2,1,"
12","
+7"
塞思-库里,G,26,4-7,2-2,1-1,0,1,"
1","
2",2,0,2,1,"
11","
+20"
托拜厄斯-哈里斯,F,30,10-16,2-5,0-0,1,4,"
5","
2",1,0,1,0,"
22","
+24"
丹尼-格林,F,23,5-10,3-8,0-0,2,4,"
6","
3",1,1,1,0,"
13","
+21"
乔尔-恩比德,C,25,4-10,0-3,6-8,1,10,"
11","
4",1,2,1,3,"
14","
+18"
谢克-米尔顿,G-F,27,3-11,1-6,3-3,1,1,"
2","
6",2,1,0,0,"
10","
+15"
泰雷斯-马克西,G,21,4-10,2-3,1-1,0,2,"
2","
2",2,1,0,0,"
11","
-3"
德怀特-霍华德,C-F,18,4-6,0-0,1-4,6,7,"
13","
1",4,0,3,0,"
9","
+6"
马蒂斯-赛布尔,G,16,2-5,0-3,0-0,0,2,"
2","
4",0,2,0,0,"
4","
-1"
樊尚-普瓦里耶,C-F,6,0-1,0-0,2-4,1,0,"
1","
1",1,0,0,0,"
2","
-7"
以赛亚-乔,G,6,0-2,0-1,0-0,1,1,"
2","
3",3,0,0,0,"
0","
-7"
达库塔-马蒂亚斯,G,4,3-3,1-1,1-2,0,0,"
0","
0",1,0,0,0,"
8","
-5"
特伦斯-弗格森,G,4,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-4"
保罗-里德,F,1,1-1,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
2","
+1"
托尼-布拉德利,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克-斯科特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
富尔坎-科尔克马兹,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特里-罗齐尔,G,29,3-8,2-5,4-4,1,2,"
3","
4",2,0,1,1,"
12","
-16
"
德文特-格雷厄姆,G,24,5-13,5-11,0-0,0,2,"
2","
1",0,0,0,0,"
15","
-13
"
戈登-海沃德,F,33,7-14,2-7,2-2,0,8,"
8","
2",4,1,2,1,"
18","
-7
"
PJ-华盛顿,F,27,4-10,2-5,2-2,1,7,"
8","
5",5,0,1,0,"
12","
-3
"
俾斯麦-比永博,C,23,2-7,0-0,0-0,1,3,"
4","
4",3,0,3,1,"
4","
-20
"
拉梅洛-鲍尔,G,30,5-16,0-5,2-3,2,5,"
7","
9",2,2,2,0,"
12","
-9"
迈尔斯-布里奇斯,F,24,3-6,1-1,0-0,0,5,"
5","
0",3,0,3,0,"
7","
-31"
凯莱布-马丁,F,17,2-4,0-2,3-5,2,1,"
3","
2",0,0,3,2,"
7","
0"
杰伦-麦克丹尼尔斯,F-C,16,4-6,1-2,1-2,0,4,"
4","
0",4,1,0,0,"
10","
+11"
马利克-蒙克,G,10,0-1,0-1,1-2,0,0,"
0","
3",0,0,1,0,"
1","
-6"
尼克-理查兹,C,6,1-1,0-0,1-2,1,1,"
2","
0",1,0,0,0,"
3","
+9"
科迪-马丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小弗农-凯里,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
内特-达林,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科迪-泽勒,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
格兰特-里勒,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
