日期,主队,客队,主队主力,客队主力,主队队员,客队队员,主队得分,客队得分,主队疲劳,客队疲劳
2019-10-04,国王,步行者,['德维恩-戴德蒙' '特雷沃-阿里扎' '里乔恩-霍姆斯' '科里-约瑟夫' '约吉-费雷尔'],['亚卡尔-桑普森' '埃德蒙-萨姆纳' '道格-麦克德莫特' '阿利兹-约翰逊 ' '阿龙-霍勒迪' '贾斯廷-霍勒迪' 'TJ-麦康奈尔'],"['达龙-福克斯' '巴迪-希尔德' '哈里森-巴恩斯' '马文-巴格利' '德维恩-戴德蒙' '特雷沃-阿里扎' '波格丹-波格丹诺维奇'
 '内马尼亚-别利察' '里乔恩-霍姆斯' '科里-约瑟夫' '约吉-费雷尔']","['马尔科姆-布罗格登' '杰里米-兰姆' 'TJ-沃伦' '多曼塔斯-萨博尼斯' '迈尔斯-特纳' '亚卡尔-桑普森' '埃德蒙-萨姆纳'
 '道格-麦克德莫特' '阿利兹-约翰逊 ' '阿龙-霍勒迪' '贾斯廷-霍勒迪' 'TJ-麦康奈尔']",131.0,132.0,0,0
2019-10-05,步行者,国王,"['亚卡尔-桑普森' '贾斯廷-霍勒迪' '阿龙-霍勒迪' 'TJ-麦康奈尔' '道格-麦克德莫特' '埃德蒙-萨姆纳' '阿米达-布里马'
 '布赖恩-鲍恩二世']",['德维恩-戴德蒙' '约吉-费雷尔' '凯尔-盖伊' '凯莱布-斯瓦尼根' '韦尼恩-加布里埃尔' '贾斯廷-詹姆斯' '泰勒-莱登'],"['杰里米-兰姆' '多曼塔斯-萨博尼斯' 'TJ-沃伦' '迈尔斯-特纳' '阿利兹-约翰逊 ' '亚卡尔-桑普森' '贾斯廷-霍勒迪'
 '阿龙-霍勒迪' 'TJ-麦康奈尔' '道格-麦克德莫特' '埃德蒙-萨姆纳' '阿米达-布里马' '布赖恩-鲍恩二世']","['巴迪-希尔德' '达龙-福克斯' '马文-巴格利' '哈里森-巴恩斯' '德维恩-戴德蒙' '约吉-费雷尔' '波格丹-波格丹诺维奇'
 '凯尔-盖伊' '凯莱布-斯瓦尼根' '韦尼恩-加布里埃尔' '贾斯廷-詹姆斯' '内马尼亚-别利察' '泰勒-莱登']",132.0,112.0,1,1
2019-10-06,勇士,湖人,"['丹吉洛-拉塞尔' '阿方索-麦金尼' '奥马里-斯佩尔曼' '格伦-罗宾逊三世' '马基斯-克里斯'
 'Juan Toscano-Anderson' '安德鲁-哈里森']","['丹尼-格林' '肯塔维厄斯-考德威尔-波普' '拉简-隆多' '小扎克-诺维尔' '德怀特-霍华德' '迪米特里厄斯-杰克逊'
 '大卫-斯托克顿']","['丹吉洛-拉塞尔' '斯蒂芬-库里' '阿方索-麦金尼' '奥马里-斯佩尔曼' '埃里克-帕斯卡尔' '乔丹-普尔' '雅各布-埃文斯'
 '格伦-罗宾逊三世' '达米恩-李' '马基斯-克里斯' 'Juan Toscano-Anderson' '安德鲁-哈里森']","['勒布朗-詹姆斯' '安东尼-戴维斯' '丹尼-格林' '贾维尔-麦基' '特洛伊-丹尼尔斯' '肯塔维厄斯-考德威尔-波普'
 '亚历克斯-卡鲁索' '拉简-隆多' '小扎克-诺维尔' '德怀特-霍华德' '迪米特里厄斯-杰克逊' 'Devontae Cacok'
 '大卫-斯托克顿']",101.0,123.0,0,0
2019-10-06,马刺,魔术,"['拉马库斯-阿尔德里奇' '雅各布-珀尔特尔' '凯尔登-约翰逊' '鲁迪-盖伊' '德里克-怀特' '德鲁-尤班克斯' '奇梅齐耶-梅图'
 '奎因达里-韦瑟斯庞' '卢卡-沙马尼奇']","['DJ-奥古斯丁' '埃文-富尼耶' '乔纳森-艾萨克' '尼古拉-武切维奇' '马克尔-富尔茨' '肯-伯奇' '阿米尔-杰弗森'
 'Vic Law' 'BJ-约翰逊']","['布林-福布斯' '德章泰-默里' '朗尼-沃克' '拉马库斯-阿尔德里奇' '雅各布-珀尔特尔' '凯尔登-约翰逊' '鲁迪-盖伊'
 '德里克-怀特' '德鲁-尤班克斯' '奇梅齐耶-梅图' '奎因达里-韦瑟斯庞' '卢卡-沙马尼奇']","['DJ-奥古斯丁' '埃文-富尼耶' '乔纳森-艾萨克' '阿龙-戈登' '尼古拉-武切维奇' '迈克尔-卡特-威廉姆斯' '穆罕默德-班巴'
 '艾尔-法鲁克-阿米奴' '特伦斯-罗斯' '马克尔-富尔茨' '韦斯利-艾旺杜' '肯-伯奇' '约什-马杰特' '阿米尔-杰弗森'
 'Vic Law' 'BJ-约翰逊']",89.0,125.0,0,0
2019-10-07,凯尔特人,黄蜂,['杰伦-布朗' '罗伯特-威廉姆斯' '格兰特-威廉姆斯' '谢米-奥杰莱' '布拉德-沃纳梅克' '特里蒙特-沃特斯' '塔科-法尔'],"['尼古拉斯-巴图姆' '科迪-泽勒' '马文-威廉姆斯' '吉列尔莫-埃尔南戈麦斯' '科比-西蒙斯' '科迪-马丁' '艾哈迈德-希尔'
 '罗伯特-弗兰克斯']","['肯巴-沃克' '杰伦-布朗' '杰森-塔特姆' '戈登-海沃德' '罗伯特-威廉姆斯' '埃内斯-坎特' '格兰特-威廉姆斯'
 '卡森-爱德华兹' '谢米-奥杰莱' '布拉德-沃纳梅克' '哈维特-格林' '特里蒙特-沃特斯' '塔科-法尔']","['德维恩-培根' '特里-罗齐尔' '迈尔斯-布里奇斯' '尼古拉斯-巴图姆' '科迪-泽勒' '凯莱布-马丁' '德文特-格雷厄姆'
 'PJ-华盛顿' '马文-威廉姆斯' '吉列尔莫-埃尔南戈麦斯' '科比-西蒙斯' '科迪-马丁' '艾哈迈德-希尔' '俾斯麦-比永博'
 '罗伯特-弗兰克斯']",107.0,106.0,0,0
2019-10-08,公牛,雄鹿,"['奥托-波特' '克里斯蒂亚诺-费利西奥' '托马什-萨托兰斯基' '赛迪斯-杨' '里安-阿尔奇迪亚科诺' '亚当'
 'Justin Simon']",['萨纳西斯-阿德托昆博' '唐特-迪温琴佐' '卡姆-雷诺兹' '帕特-康诺顿' '杰伦-亚当斯' '拉洪-塔克' '卢克-梅'],"['克里斯-邓恩' '扎克-拉文' '劳里-马尔卡宁' '奥托-波特' '克里斯蒂亚诺-费利西奥' '科比-怀特' '托马什-萨托兰斯基'
 '登泽尔-瓦伦丁' '赛迪斯-杨' '里安-阿尔奇迪亚科诺' '丹尼尔-加福德' '亚当' 'Justin Simon']","['弗兰克-梅森' '韦斯利-马修斯' '斯特林-布朗' '布鲁克-洛佩斯' '罗宾-洛佩斯' '萨纳西斯-阿德托昆博' '唐特-迪温琴佐'
 '卡姆-雷诺兹' '德拉甘-本德尔' '帕特-康诺顿' '杰伦-亚当斯' '拉洪-塔克' '卢克-梅']",112.0,122.0,0,0
2019-10-08,奇才,尼克斯,['伊斯梅尔-史密斯' '布拉德利-比尔' '贾斯廷-罗宾逊' '加里森-马修斯' 'Phil Booth'],['埃尔弗里德-佩顿' '朱利叶斯-兰德尔' '米切尔-罗宾逊' '弗朗克-尼利基纳'],"['伊斯梅尔-史密斯' '布拉德利-比尔' '八村垒' '贾斯廷-安德森' '托马斯-布莱恩特' '莫里茨-瓦格纳' '贾斯廷-罗宾逊'
 '乔丹-麦克雷' '戴维斯-贝尔坦斯' '加里森-马修斯' 'Phil Booth']","['RJ-巴雷特' '埃尔弗里德-佩顿' '朱利叶斯-兰德尔' '马库斯-莫里斯' '米切尔-罗宾逊' '凯文-诺克斯' '弗朗克-尼利基纳'
 '韦恩-艾灵顿' '泰-吉布森']",99.0,104.0,0,0
2019-10-08,活塞,魔术,"['雷吉-杰克逊' '布鲁斯-布朗' '布雷克-格里芬' '卢克-肯纳德' '索恩-梅克' '马基夫-莫里斯' '塞古-敦布亚' '兰斯顿-加洛韦'
 '乔丹-博恩']","['DJ-奥古斯丁' '埃文-富尼耶' '尼古拉-武切维奇' '马克尔-富尔茨' '艾尔-法鲁克-阿米奴' '迈克尔-卡特-威廉姆斯'
 '梅尔文-弗雷泽' '阿米尔-杰弗森' '约什-马杰特']","['雷吉-杰克逊' '布鲁斯-布朗' '托尼-斯内尔' '布雷克-格里芬' '安德烈-德拉蒙德' '卢克-肯纳德' '克里斯蒂安-伍德'
 '索恩-梅克' '斯维亚托斯拉夫-米哈伊柳克' '德里克-罗斯' '马基夫-莫里斯' '塞古-敦布亚' '兰斯顿-加洛韦' '乔丹-博恩']","['DJ-奥古斯丁' '埃文-富尼耶' '乔纳森-艾萨克' '阿龙-戈登' '尼古拉-武切维奇' '马克尔-富尔茨' '艾尔-法鲁克-阿米奴'
 '穆罕默德-班巴' '迈克尔-卡特-威廉姆斯' '梅尔文-弗雷泽' '阿米尔-杰弗森' '特伦斯-罗斯' '约什-马杰特']",91.0,115.0,0,0
2019-10-08,老鹰,鹈鹕,['达米安-琼斯' '文斯-卡特' '布鲁诺-费尔南多' 'Tahjere McCall'],['朗佐-鲍尔' '德里克-费沃斯' '肯里奇-威廉姆斯' '弗兰克-杰克逊' '约什-哈特' 'JJ-雷迪克' '伊托万-摩尔' '贾克森-海斯'],"['特雷-杨' '德安德烈-本布里' '约翰-科林斯' '达米安-琼斯' '德安德烈-亨特' 'Charlie Brown' '贾巴里-帕克'
 '文斯-卡特' '亚历克斯-莱恩' '卡姆-雷迪什' '布鲁诺-费尔南多' 'Tahjere McCall']","['朗佐-鲍尔' '朱-霍勒迪' '蔡恩-威廉森' '布兰登-英格拉姆' '德里克-费沃斯' '肯里奇-威廉姆斯' '尼科勒-梅利'
 '弗兰克-杰克逊' '约什-哈特' '尼基尔-亚历山大-沃克' '贾利尔-奥卡福' 'JJ-雷迪克' '伊托万-摩尔' '贾克森-海斯']",106.0,133.0,0,0
2019-10-09,太阳,森林狼,['卡梅伦-约翰逊' '达里奥-沙里奇' '谢赫-迪亚洛' '杰文-卡特' 'Tariq Owens' 'Jared Harper'],"['杰夫-蒂格' '安德鲁-威金斯' '杰克-莱曼' '罗伯特-科温顿' '诺阿-冯莱' '沙巴兹-内皮尔' '凯塔-贝茨-迪奥普'
 '乔丹-麦克劳克林' '蒂龙-华莱士']","['德文-布克' '里基-卢比奥' '卡梅伦-约翰逊' '达里奥-沙里奇' '德安德烈-艾顿' '弗兰克-卡明斯基' '泰-杰罗姆'
 '谢赫-迪亚洛' '杰文-卡特' '埃利-奥科博' 'Tariq Owens' 'Jared Harper']","['杰夫-蒂格' '安德鲁-威金斯' '杰克-莱曼' '罗伯特-科温顿' '卡尔-安东尼-唐斯' '约什-奥科吉' '贾勒特-卡尔弗'
 '特雷韦恩-格雷厄姆' '诺阿-冯莱' '戈尔吉-吉昂' '沙巴兹-内皮尔' '凯塔-贝茨-迪奥普' '乔丹-麦克劳克林' '蒂龙-华莱士'
 '杰伦-诺埃尔']",111.0,106.0,0,0
